

----------------------  遺伝情報  ----------------------

個体数＝300
世代数＝500
0: neval=300{'avg': 11953976.95877166, 'min': 9592915.817056643, 'max': 18078713.848894365}
1: neval=229{'avg': 10323809.377056656, 'min': 9042741.500445869, 'max': 14468660.748752397}
2: neval=219{'avg': 9698326.36837033, 'min': 8663631.74879484, 'max': 11863186.730409078}
3: neval=224{'avg': 9303926.694677738, 'min': 8557118.924807653, 'max': 10363779.396428186}
4: neval=233{'avg': 8917600.63580987, 'min': 8048730.162457753, 'max': 9962239.914325124}
5: neval=233{'avg': 8530711.328216258, 'min': 8048730.162457753, 'max': 9327738.449961528}
6: neval=228{'avg': 8224361.145855544, 'min': 8048730.162457753, 'max': 9412709.892203704}
7: neval=228{'avg': 8086734.406374944, 'min': 8048730.162457753, 'max': 9848870.746864263}
8: neval=239{'avg': 8052403.351399954, 'min': 8048730.162457753, 'max': 8106727.882597804}
9: neval=237{'avg': 8048730.16245775, 'min': 8048730.162457753, 'max': 8048730.162457753}
10: neval=247{'avg': 8048730.16245775, 'min': 8048730.162457753, 'max': 8048730.162457753}
11: neval=238{'avg': 8048730.16245775, 'min': 8048730.162457753, 'max': 8048730.162457753}
12: neval=250{'avg': 8048730.16245775, 'min': 8048730.162457753, 'max': 8048730.162457753}
