--------------------  GAPlot_input  --------------------

inc_size= [1249, 341, 315, 254, 246, 174]
inc_facility = ['札幌市', '苫小牧市', '旭川市', '釧路市', '函館市', '帯広市']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '寿都町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['千歳市', '室蘭市', '苫小牧市', '登別市', '伊達市', '豊浦町', '壮瞥町', '白老町', '厚真町', '洞爺湖町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['島牧村', '黒松内町', '函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '長万部町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '紋別市', '佐呂間町', '遠軽町', '湧別町', '滝上町', '西興部村'], ['様似町', 'えりも町', '南富良野町', '占冠村', '訓子府町', '置戸町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '陸別町', '浦幌町'], ['北見市', '網走市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '大空町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[20, 5, 1, 1]
trans_facility = ['稚内市', '浜頓別町', '猿払村', '中頓別町']
trans_blocks = [['稚内市', '豊富町', '幌延町'], ['猿払村'], ['浜頓別町', '枝幸町', '興部町', '雄武町'], ['音威子府村', '中川町', '初山別村', '遠別町', '天塩町', '中頓別町']]

arrows = [[['旭川市'], ['浜頓別町', '中頓別町', '稚内市', '猿払村']]]

----------------------  実行情報  ----------------------
実行時間＝85秒
個体数＝500
合計世代数＝117
------------------------  前提  ------------------------

waste=kanen

ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

焼却施設数: 6
中継施設数: 4

輸送単価＝ 300 円/t/km

---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 110118.56417999999, '苫小牧市': 144536.67102, '旭川市': 77340.42015, '釧路市': 184372.83038999996, '函館市': 37565.28993, '帯広市': 27202.718790000003}
IC_inc: {'札幌市': 159815.1051030265, '苫小牧市': 57186.039128624805, '旭川市': 53973.50321662929, '釧路市': 46246.49216906523, '函館市': 45190.25558468947, '帯広市': 35203.63279034292}
OC_inc: {'札幌市': 66917.76362518221, '苫小牧市': 56334.55844093495, '旭川市': 56977.257112601044, '釧路市': 56736.3273906355, '函館市': 56503.77419685738, '帯広市': 51862.950323736724}

TC_indirect: {'稚内市': 10612.438158, '浜頓別町': 4190.6566680000005, '猿払村': 372.35844000000003, '中頓別町': 452.31201}
IC_trans: {'稚内市': 874.4197256190032, '浜頓別町': 300.9446974147046, '猿払村': 65.30153449482616, '中頓別町': 52.63048104873193}
OC_trans: {'稚内市': 45305.312267747926, '浜頓別町': 13437.795753404334, '猿払村': 3519.8367150750787, '中頓別町': 2814.983183027461}

=============================
Total cost: 1406083.143176158
=============================

----------------------  輸送情報  ----------------------

direct 札幌市(1249/1249) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 寿都町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 苫小牧市(341/341) t/day → receive from: 千歳市, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 旭川市(288/315) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 紋別市, 佐呂間町, 遠軽町, 湧別町, 滝上町, 西興部村
indirect 旭川市(26/315) t/day → receive from: 中継施設＝ 浜頓別町(1959) → receive from: 浜頓別町, 枝幸町, 興部町, 雄武町
                                                    　　　中頓別町(213) → receive from: 音威子府村, 中川町, 初山別村, 遠別町, 天塩町, 中頓別町
                                                    　　　稚内市(7184) → receive from: 稚内市, 豊富町, 幌延町
                                                    　　　猿払村(282) → receive from: 猿払村
direct 釧路市(254/254) t/day → receive from: 北見市, 網走市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 大空町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 函館市(246/246) t/day → receive from: 島牧村, 黒松内町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 帯広市(174/174) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 訓子府町, 置戸町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町

----------------------  遺伝情報  ----------------------

個体数＝500
世代数＝1000
0: neval=500{'avg': 2867069.623721568, 'max': 4958538.812887317, 'min': 2037825.8131084698} best=2037825.8131084698
1: neval=378{'avg': 2551160.0881484267, 'max': 3446891.973895806, 'min': 1930693.1731348576} best=1930693.1731348576
2: neval=401{'avg': 2348097.2878590687, 'max': 3249632.423675944, 'min': 1802266.7143523823} best=1802266.7143523823
3: neval=398{'avg': 2197024.448944575, 'max': 2872660.245814117, 'min': 1597143.4528788393} best=1597143.4528788393
4: neval=393{'avg': 2063170.4603453646, 'max': 2808019.186505211, 'min': 1543738.5721485028} best=1543738.5721485028
5: neval=397{'avg': 1934468.378675262, 'max': 2640797.4391789194, 'min': 1561881.5652284627} best=1543738.5721485028
6: neval=408{'avg': 1819929.089296303, 'max': 2567950.890266816, 'min': 1505553.3415242147} best=1505553.3415242147
7: neval=411{'avg': 1726618.99937077, 'max': 2181504.2251906535, 'min': 1505553.3415242147} best=1505553.3415242147
8: neval=397{'avg': 1649971.1965511527, 'max': 3167895.5245775096, 'min': 1477075.945504184} best=1477075.945504184
9: neval=402{'avg': 1578649.528244244, 'max': 2569644.1208119327, 'min': 1474221.0430864787} best=1474221.0430864787
10: neval=380{'avg': 1537105.0541828808, 'max': 2406125.291104099, 'min': 1470543.5498990032} best=1470543.5498990032
11: neval=399{'avg': 1507070.1682742385, 'max': 1736213.2583094388, 'min': 1440857.1003638813} best=1440857.1003638813
12: neval=389{'avg': 1491930.7091277218, 'max': 2078558.0146989967, 'min': 1453789.4328856752} best=1440857.1003638813
13: neval=394{'avg': 1482407.3180610056, 'max': 2474019.23078846, 'min': 1423787.266121678} best=1423787.266121678
14: neval=392{'avg': 1465440.3059636508, 'max': 1970585.8170961244, 'min': 1409986.7039490875} best=1409986.7039490875
15: neval=399{'avg': 1451877.9299574161, 'max': 1705029.5444300328, 'min': 1409501.545629463} best=1409501.545629463
16: neval=398{'avg': 1440385.6784462265, 'max': 2211072.14728672, 'min': 1406083.143176158} best=1406083.143176158
17: neval=397{'avg': 1425511.1599314508, 'max': 2216371.453312174, 'min': 1406083.143176158} best=1406083.143176158
18: neval=402{'avg': 1415643.759625576, 'max': 1731313.5977352818, 'min': 1406083.143176158} best=1406083.143176158
19: neval=415{'avg': 1411478.29532835, 'max': 1868977.8721031663, 'min': 1406083.143176158} best=1406083.143176158
20: neval=400{'avg': 1407618.9064180665, 'max': 1568231.8070557113, 'min': 1406083.143176158} best=1406083.143176158
21: neval=373{'avg': 1406910.4864248352, 'max': 1614780.6024101845, 'min': 1406083.143176158} best=1406083.143176158
22: neval=385{'avg': 1408180.7699176164, 'max': 2101342.2278190367, 'min': 1406083.143176158} best=1406083.143176158
23: neval=391{'avg': 1412222.426707684, 'max': 2142089.8737307144, 'min': 1406083.143176158} best=1406083.143176158
24: neval=405{'avg': 1408624.7029635166, 'max': 2140830.042920968, 'min': 1406083.143176158} best=1406083.143176158
25: neval=390{'avg': 1411610.5012034988, 'max': 1988439.538886855, 'min': 1406083.143176158} best=1406083.143176158
26: neval=407{'avg': 1412482.9444453856, 'max': 2233278.316998759, 'min': 1406083.143176158} best=1406083.143176158
27: neval=371{'avg': 1406812.6188038993, 'max': 1558228.1678745567, 'min': 1406083.143176158} best=1406083.143176158
28: neval=386{'avg': 1408973.3372926502, 'max': 2310518.2779951845, 'min': 1406083.143176158} best=1406083.143176158
29: neval=385{'avg': 1410322.2473903436, 'max': 2256385.636147686, 'min': 1406083.143176158} best=1406083.143176158
30: neval=377{'avg': 1407914.3984353298, 'max': 2070684.7869971758, 'min': 1406083.143176158} best=1406083.143176158
31: neval=380{'avg': 1407033.3866822578, 'max': 1683178.037664076, 'min': 1406083.143176158} best=1406083.143176158
32: neval=417{'avg': 1408221.9916113855, 'max': 2015851.7483805714, 'min': 1406083.143176158} best=1406083.143176158
33: neval=388{'avg': 1408585.6409511298, 'max': 1784405.0403944436, 'min': 1406083.143176158} best=1406083.143176158
34: neval=397{'avg': 1408400.8797743092, 'max': 2246267.8837459297, 'min': 1406083.143176158} best=1406083.143176158
35: neval=380{'avg': 1409302.1842728963, 'max': 2157622.298824924, 'min': 1406083.143176158} best=1406083.143176158
36: neval=384{'avg': 1407708.7088839624, 'max': 2218865.997078539, 'min': 1406083.143176158} best=1406083.143176158
37: neval=397{'avg': 1407903.032439659, 'max': 2195286.418855467, 'min': 1406083.143176158} best=1406083.143176158
38: neval=387{'avg': 1407084.4431972427, 'max': 1906733.1537187784, 'min': 1406083.143176158} best=1406083.143176158
39: neval=399{'avg': 1406278.3086714537, 'max': 1503665.8908241822, 'min': 1406083.143176158} best=1406083.143176158
40: neval=417{'avg': 1408129.435013864, 'max': 1629102.6697135894, 'min': 1406083.143176158} best=1406083.143176158
41: neval=392{'avg': 1410682.8243391737, 'max': 2480154.539988488, 'min': 1406083.143176158} best=1406083.143176158
42: neval=402{'avg': 1408853.1758663892, 'max': 2030606.0218183887, 'min': 1406083.143176158} best=1406083.143176158
