--------------------  GAPlot_input  --------------------

inc_size= [1591, 417, 324, 246]
inc_facility = ['札幌市', '釧路市', '旭川市', '函館市']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '千歳市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '寿都町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '室蘭市', '苫小牧市', '登別市', '伊達市', '豊浦町', '壮瞥町', '白老町', '厚真町', '洞爺湖町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '様似町', '新ひだか町'], ['島牧村', '黒松内町', '函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '長万部町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '南富良野町', '占冠村', '和寒町', '剣淵町', '下川町', '美深町', '音威子府村', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村', '紋別市', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町', '新得町', '清水町'], ['えりも町', '北見市', '網走市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '訓子府町', '大空町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '陸別町', '浦幌町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[20, 5]
trans_facility = ['稚内市', '猿払村']
trans_blocks = [['猿払村', '浜頓別町', '中頓別町', '枝幸町'], ['中川町', '遠別町', '天塩町', '稚内市', '豊富町', '幌延町']]

arrows = [[['旭川市'], ['稚内市', '猿払村']]]

----------------------  実行情報  ----------------------
実行時間＝166秒
個体数＝300
合計世代数＝113
------------------------  前提  ------------------------

waste=kanen

ごみ量16位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531)

焼却施設数: 4
中継施設数: 2

輸送単価＝ 300 円/t/km

---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 445636.3723200001, '釧路市': 400073.66583000007, '旭川市': 91495.19448, '函館市': 37565.28993}
IC_inc: {'札幌市': 203617.5544187614, '釧路市': 66181.12920921772, '旭川市': 55077.59753759122, '函館市': 45190.25558468947}
OC_inc: {'札幌市': 85258.72049296246, '釧路市': 52279.07019117943, '旭川市': 56804.94765693356, '函館市': 56503.77419685738}

TC_indirect: {'稚内市': 10854.438654000001, '猿払村': 5564.83155}
IC_trans: {'稚内市': 880.8192236645581, '猿払村': 305.6481039817605}
OC_trans: {'稚内市': 45309.74354674154, '猿払村': 13440.468622088543}

==============================
Total cost: 1672039.5215486686
==============================

----------------------  輸送情報  ----------------------

direct 札幌市(1591/1591) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 寿都町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 様似町, 新ひだか町
direct 釧路市(417/417) t/day → receive from: えりも町, 北見市, 網走市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 旭川市(298/324) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 南富良野町, 占冠村, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 紋別市, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町, 新得町, 清水町
indirect 旭川市(25/324) t/day → receive from: 中継施設＝ 稚内市(7247) → receive from: 中川町, 遠別町, 天塩町, 稚内市, 豊富町, 幌延町
                                                    　　　猿払村(1997) → receive from: 猿払村, 浜頓別町, 中頓別町, 枝幸町
direct 函館市(246/246) t/day → receive from: 島牧村, 黒松内町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町

----------------------  遺伝情報  ----------------------

個体数＝300
世代数＝1000
0: neval=300{'avg': 2951938.698211067, 'max': 5577823.483340226, 'min': 2178748.971747683} best=2178748.971747683
1: neval=242{'avg': 2617773.0575388065, 'max': 3549703.4088697173, 'min': 1749458.2857267833} best=1749458.2857267833
2: neval=231{'avg': 2445276.116043381, 'max': 3526405.733290229, 'min': 1749458.2857267833} best=1749458.2857267833
3: neval=229{'avg': 2309048.389738263, 'max': 3278156.3650566116, 'min': 1749458.2857267833} best=1749458.2857267833
4: neval=241{'avg': 2170892.191117543, 'max': 3268765.0253264955, 'min': 1749458.2857267833} best=1749458.2857267833
5: neval=245{'avg': 2024095.8992083033, 'max': 2763031.9016650976, 'min': 1713421.0999082327} best=1713421.0999082327
6: neval=210{'avg': 1935065.370969435, 'max': 2411566.874647666, 'min': 1682544.656684057} best=1682544.656684057
7: neval=242{'avg': 1857877.7810155468, 'max': 2421591.4529913208, 'min': 1682544.656684057} best=1682544.656684057
8: neval=227{'avg': 1802669.742347206, 'max': 1975861.7145644892, 'min': 1682544.656684057} best=1682544.656684057
9: neval=225{'avg': 1764750.1294528195, 'max': 2389208.5765878474, 'min': 1682544.656684057} best=1682544.656684057
10: neval=231{'avg': 1735413.4200729523, 'max': 1988715.666700318, 'min': 1682544.656684057} best=1682544.656684057
11: neval=219{'avg': 1712568.9285657445, 'max': 1940167.8409294744, 'min': 1682544.656684057} best=1682544.656684057
12: neval=231{'avg': 1694834.074977316, 'max': 2359549.7802767814, 'min': 1682544.656684057} best=1682544.656684057
13: neval=247{'avg': 1686854.2316243222, 'max': 2642057.234738149, 'min': 1682544.656684057} best=1682544.656684057
14: neval=240{'avg': 1686737.6056237442, 'max': 2696533.9901026613, 'min': 1682544.656684057} best=1682544.656684057
15: neval=229{'avg': 1682531.9882831578, 'max': 1682544.656684057, 'min': 1678744.1364141675} best=1678744.1364141675
16: neval=227{'avg': 1685217.5935429682, 'max': 1973789.4823907018, 'min': 1678744.1364141675} best=1678744.1364141675
17: neval=244{'avg': 1687513.2618421377, 'max': 2500226.2605297286, 'min': 1678744.1364141675} best=1678744.1364141675
18: neval=249{'avg': 1688014.0679608667, 'max': 2862438.4345211694, 'min': 1678744.1364141675} best=1678744.1364141675
19: neval=220{'avg': 1682037.9206480721, 'max': 1682544.656684057, 'min': 1678744.1364141675} best=1678744.1364141675
20: neval=236{'avg': 1682079.1551752184, 'max': 1903788.4096065625, 'min': 1678744.1364141675} best=1678744.1364141675
21: neval=243{'avg': 1681001.8236985318, 'max': 1899987.889336673, 'min': 1678744.1364141675} best=1678744.1364141675
22: neval=228{'avg': 1679697.8810318871, 'max': 1847051.393363588, 'min': 1678744.1364141675} best=1678744.1364141675
23: neval=233{'avg': 1680229.8630506154, 'max': 1897802.6116115167, 'min': 1678744.1364141675} best=1678744.1364141675
24: neval=246{'avg': 1679564.5226378858, 'max': 1897802.6116115167, 'min': 1678744.1364141675} best=1678744.1364141675
25: neval=216{'avg': 1678744.136414167, 'max': 1678744.1364141675, 'min': 1678744.1364141675} best=1678744.1364141675
26: neval=241{'avg': 1678793.2809162287, 'max': 1693519.58014426, 'min': 1678728.0898583687} best=1678728.0898583687
27: neval=232{'avg': 1682891.382364803, 'max': 2349039.2644044347, 'min': 1678728.0898583687} best=1678728.0898583687
28: neval=242{'avg': 1679633.0181262337, 'max': 1908383.2110222194, 'min': 1678728.0898583687} best=1678728.0898583687
29: neval=249{'avg': 1681250.7162994302, 'max': 2001475.653347738, 'min': 1678728.0898583687} best=1678728.0898583687
30: neval=231{'avg': 1680034.574926192, 'max': 1868507.7982371764, 'min': 1678728.0898583687} best=1678728.0898583687
31: neval=250{'avg': 1679424.1741178115, 'max': 1782373.0784500125, 'min': 1678728.0898583687} best=1678728.0898583687
32: neval=237{'avg': 1679757.435321826, 'max': 1986970.099442614, 'min': 1678728.0898583687} best=1678728.0898583687
33: neval=225{'avg': 1679231.7037823729, 'max': 1829699.9411690778, 'min': 1678728.0898583687} best=1678728.0898583687
34: neval=222{'avg': 1679812.1332682066, 'max': 2003941.1128097463, 'min': 1678728.0898583687} best=1678728.0898583687
35: neval=226{'avg': 1685791.4411308174, 'max': 3552086.5716279703, 'min': 1672039.5215486686} best=1672039.5215486686
36: neval=236{'avg': 1679525.9094225867, 'max': 1918073.959123779, 'min': 1678728.0898583687} best=1672039.5215486686
37: neval=240{'avg': 1680490.8210909455, 'max': 2079377.6565999803, 'min': 1678728.0898583687} best=1672039.5215486686
38: neval=253{'avg': 1680152.5098245179, 'max': 2106054.0797030986, 'min': 1678728.0898583687} best=1672039.5215486686
39: neval=223{'avg': 1684750.1422210976, 'max': 3051072.2031628666, 'min': 1678728.0898583687} best=1672039.5215486686
40: neval=234{'avg': 1680590.0245162738, 'max': 2237308.487229859, 'min': 1678728.0898583687} best=1672039.5215486686
41: neval=238{'avg': 1679775.773946925, 'max': 1993033.3164252273, 'min': 1678728.0898583687} best=1672039.5215486686
42: neval=242{'avg': 1681227.8020083646, 'max': 2428641.734857173, 'min': 1678728.0898583687} best=1672039.5215486686
43: neval=231{'avg': 1678728.0898583687, 'max': 1678728.0898583687, 'min': 1678728.0898583687} best=1672039.5215486686
44: neval=245{'avg': 1678728.0898583687, 'max': 1678728.0898583687, 'min': 1678728.0898583687} best=1672039.5215486686
45: neval=234{'avg': 1681511.154841005, 'max': 2445379.292407494, 'min': 1678728.0898583687} best=1672039.5215486686
46: neval=228{'avg': 1679665.0059131368, 'max': 1959802.9062887905, 'min': 1678728.0898583687} best=1672039.5215486686
