--------------------  GAPlot_input  --------------------

inc_size= [1247, 264, 243, 224, 173, 125, 121, 108, 26, 20, 15, 7, 5]
inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '中標津町', '稚内市', '根室市', '中頓別町', '小平町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '雨竜町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '幌加内町', '西興部村'], ['秩父別町', '北竜町', '沼田町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町'], ['稚内市', '猿払村', '豊富町', '幌延町'], ['美深町', '音威子府村', '中川町', '浜頓別町', '中頓別町', '枝幸町', '興部町', '雄武町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '大空町', '陸別町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['清里町', '斜里町', '弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[0, 0]
trans_facility = ['遠別町', '中頓別町']
trans_blocks = [['初山別村', '遠別町', '天塩町'], []]

arrows = [[['中頓別町'], ['遠別町']]]

----------------------  実行情報  ----------------------
実行時間＝285秒
個体数＝750
合計世代数＝207
------------------------  前提  ------------------------

waste=kanen

ごみ量25位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736)

焼却施設数: 13
中継施設数: 2

輸送単価＝ 300 円/t/km

---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 107750.56481999999, '旭川市': 42363.79274999999, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 29263.9788, '中標津町': 4994.53689, '稚内市': 492.18129, '根室市': 1239.6003600000001, '中頓別町': 3357.9015, '小平町': 1597.7058300000003}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 47498.730318903865, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 25048.63221091822, '中標津町': 8872.651784106152, '稚内市': 7522.427997154083, '根室市': 5977.738680892802, '中頓別町': 3329.8585895806955, '小平町': 2820.364834152481}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 56949.22592628491, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 42464.59053278037, '中標津町': 17379.31890023605, '稚内市': 14747.894368386476, '根室市': 11658.634045924002, '中頓別町': 6237.422822039427, '小平町': 5192.944017170467}

TC_indirect: {'遠別町': 79.890312, '中頓別町': 0}
IC_trans: {'遠別町': 26.652283525987492, '中頓別町': 0}
OC_trans: {'遠別町': 2806.120097872163, '中頓別町': 0}

==============================
Total cost: 1239938.5130226326
==============================

----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(264/264) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 雨竜町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 幌加内町, 西興部村
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(108/108) t/day → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 大空町, 陸別町
direct 中標津町(26/26) t/day → receive from: 清里町, 斜里町, 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村, 豊富町, 幌延町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 中頓別町(6/7) t/day → receive from: 美深町, 音威子府村, 中川町, 浜頓別町, 中頓別町, 枝幸町, 興部町, 雄武町
indirect 中頓別町(0/7) t/day → receive from: 中継施設＝ 遠別町(87) → receive from: 初山別村, 遠別町, 天塩町
direct 小平町(5/5) t/day → receive from: 秩父別町, 北竜町, 沼田町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町

----------------------  遺伝情報  ----------------------

個体数＝750
世代数＝1000
0: neval=750{'avg': 1755194.4992041925, 'max': 2599498.9974949434, 'min': 1403261.5874285193} best=1403261.5874285193
1: neval=603{'avg': 1633910.9196948726, 'max': 2071376.934197255, 'min': 1356213.171173147} best=1356213.171173147
2: neval=579{'avg': 1557930.3971179288, 'max': 2047875.0184905725, 'min': 1346949.0393427243} best=1346949.0393427243
3: neval=586{'avg': 1486054.3069398967, 'max': 1981961.2923459716, 'min': 1315030.159780485} best=1315030.159780485
4: neval=584{'avg': 1432124.340810318, 'max': 1885586.2954270474, 'min': 1311957.1806059377} best=1311957.1806059377
5: neval=580{'avg': 1392499.6508394175, 'max': 1746462.7794603617, 'min': 1311957.1806059377} best=1311957.1806059377
6: neval=596{'avg': 1368492.1061889555, 'max': 1750435.396202901, 'min': 1309493.1418188205} best=1309493.1418188205
7: neval=603{'avg': 1349493.6534992799, 'max': 1612572.283444536, 'min': 1295417.411883567} best=1295417.411883567
8: neval=593{'avg': 1337218.5119734462, 'max': 1592417.398848045, 'min': 1289696.5977862286} best=1289696.5977862286
9: neval=597{'avg': 1322028.8555468502, 'max': 1455587.0015595926, 'min': 1277340.5273760378} best=1277340.5273760378
10: neval=607{'avg': 1316404.2760662544, 'max': 2122153.2572190603, 'min': 1268371.9652796828} best=1268371.9652796828
11: neval=590{'avg': 1304995.3794694955, 'max': 1902606.221778193, 'min': 1267002.5095411234} best=1267002.5095411234
12: neval=590{'avg': 1294655.1758886473, 'max': 1699516.603098538, 'min': 1253943.0461561033} best=1253943.0461561033
13: neval=597{'avg': 1284255.159955701, 'max': 1733785.590763173, 'min': 1252864.4939264322} best=1252864.4939264322
14: neval=602{'avg': 1274867.1320934058, 'max': 1480679.6131725209, 'min': 1247355.830693952} best=1247355.830693952
15: neval=591{'avg': 1271699.5027699447, 'max': 2086596.1952453305, 'min': 1247355.830693952} best=1247355.830693952
16: neval=583{'avg': 1262099.6817060611, 'max': 1716281.6449382522, 'min': 1244978.5164376574} best=1244978.5164376574
17: neval=576{'avg': 1257535.568177497, 'max': 2131563.395115144, 'min': 1244149.531858974} best=1244149.531858974
18: neval=599{'avg': 1252073.5916725344, 'max': 1757612.817161702, 'min': 1239938.5130226326} best=1239938.5130226326
19: neval=604{'avg': 1250159.5392594829, 'max': 1863188.8946814062, 'min': 1243733.7770750523} best=1239938.5130226326
20: neval=603{'avg': 1248419.2524157753, 'max': 1742470.604957418, 'min': 1241543.4914003732} best=1239938.5130226326
21: neval=594{'avg': 1247338.379255516, 'max': 1876236.675469988, 'min': 1241543.4914003732} best=1239938.5130226326
22: neval=602{'avg': 1245412.8932644469, 'max': 1735660.7786469546, 'min': 1241543.4914003732} best=1239938.5130226326
23: neval=602{'avg': 1245609.7882320713, 'max': 1709545.2973882542, 'min': 1241543.4914003732} best=1239938.5130226326
24: neval=594{'avg': 1243969.5975058773, 'max': 1420942.8768760802, 'min': 1241543.4914003732} best=1239938.5130226326
25: neval=591{'avg': 1244923.5156541266, 'max': 1767156.0308959414, 'min': 1241219.2325595212} best=1239938.5130226326
26: neval=598{'avg': 1244579.3703933526, 'max': 1617290.8538127868, 'min': 1241219.2325595212} best=1239938.5130226326
27: neval=604{'avg': 1244304.093977891, 'max': 1579880.1894225106, 'min': 1241219.2325595212} best=1239938.5130226326
28: neval=567{'avg': 1243403.9056882744, 'max': 1856393.2111082354, 'min': 1241219.2325595212} best=1239938.5130226326
29: neval=584{'avg': 1242841.2043086311, 'max': 1717973.331971661, 'min': 1241219.2325595212} best=1239938.5130226326
30: neval=573{'avg': 1242983.582160947, 'max': 1421188.8673642585, 'min': 1241219.2325595212} best=1239938.5130226326
31: neval=579{'avg': 1242530.4992230053, 'max': 1487288.7475766242, 'min': 1241219.2325595212} best=1239938.5130226326
32: neval=597{'avg': 1243817.0591185826, 'max': 1670974.3990960296, 'min': 1241219.2325595212} best=1239938.5130226326
33: neval=614{'avg': 1242166.5039594476, 'max': 1458253.0265001114, 'min': 1241219.2325595212} best=1239938.5130226326
34: neval=608{'avg': 1243912.2011851398, 'max': 1987921.5533587597, 'min': 1241219.2325595212} best=1239938.5130226326
35: neval=583{'avg': 1242944.5991232984, 'max': 1554218.612410495, 'min': 1241219.2325595212} best=1239938.5130226326
36: neval=610{'avg': 1242096.706881272, 'max': 1528546.4604012063, 'min': 1241219.2325595212} best=1239938.5130226326
37: neval=579{'avg': 1242712.032610398, 'max': 1828735.5866556142, 'min': 1241219.2325595212} best=1239938.5130226326
38: neval=614{'avg': 1241672.744337578, 'max': 1385591.1988778622, 'min': 1241219.2325595212} best=1239938.5130226326
39: neval=593{'avg': 1242914.810457483, 'max': 1535329.0855462656, 'min': 1241219.2325595212} best=1239938.5130226326
40: neval=600{'avg': 1242516.1372275425, 'max': 1518956.6355584008, 'min': 1241219.2325595212} best=1239938.5130226326
41: neval=595{'avg': 1242640.4401919676, 'max': 1753373.5074555469, 'min': 1241219.2325595212} best=1239938.5130226326
42: neval=594{'avg': 1242501.481448192, 'max': 1424687.9266609636, 'min': 1241219.2325595212} best=1239938.5130226326
43: neval=598{'avg': 1241379.9861116463, 'max': 1361784.39665364, 'min': 1241219.2325595212} best=1239938.5130226326
44: neval=562{'avg': 1243032.3017562653, 'max': 2154859.261569603, 'min': 1241219.2325595212} best=1239938.5130226326
45: neval=593{'avg': 1243958.6366817106, 'max': 1704698.1336072762, 'min': 1241219.2325595212} best=1239938.5130226326
46: neval=589{'avg': 1242356.4225939903, 'max': 1521218.2596648326, 'min': 1241219.2325595212} best=1239938.5130226326
47: neval=598{'avg': 1243217.0943033574, 'max': 1707088.1734279273, 'min': 1241219.2325595212} best=1239938.5130226326
48: neval=593{'avg': 1242626.7707600251, 'max': 1883836.0189707354, 'min': 1241219.2325595212} best=1239938.5130226326
49: neval=620{'avg': 1243089.5777266196, 'max': 1541002.5349298269, 'min': 1241219.2325595212} best=1239938.5130226326
50: neval=587{'avg': 1242455.8542681644, 'max': 1913597.623660994, 'min': 1241219.2325595212} best=1239938.5130226326
51: neval=609{'avg': 1243016.4452298544, 'max': 1699501.9329719373, 'min': 1241219.2325595212} best=1239938.5130226326
52: neval=600{'avg': 1242755.8127306954, 'max': 1563830.74104458, 'min': 1241219.2325595212} best=1239938.5130226326
53: neval=602{'avg': 1245066.402964201, 'max': 2062290.3561960852, 'min': 1241219.2325595212} best=1239938.5130226326
54: neval=603{'avg': 1243200.271262812, 'max': 1739650.7267789964, 'min': 1241219.2325595212} best=1239938.5130226326
55: neval=598{'avg': 1241609.3801802269, 'max': 1370074.3997974382, 'min': 1241219.2325595212} best=1239938.5130226326
56: neval=589{'avg': 1243464.125077359, 'max': 1559393.011988811, 'min': 1241137.6049986605} best=1239938.5130226326
57: neval=590{'avg': 1242752.262121813, 'max': 1767587.414772923, 'min': 1241137.6049986605} best=1239938.5130226326
58: neval=602{'avg': 1243905.6615058633, 'max': 1697422.986685349, 'min': 1241137.6049986605} best=1239938.5130226326
59: neval=593{'avg': 1243378.0627555242, 'max': 1616708.6831583586, 'min': 1241137.6049986605} best=1239938.5130226326
60: neval=578{'avg': 1241983.7088230264, 'max': 1627903.8788567565, 'min': 1241137.6049986605} best=1239938.5130226326
