--------------------  GAPlot_input  --------------------

inc_size= [2120, 458]
inc_facility = ['札幌市', '本別町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '芦別市', '赤平市', '三笠市', '滝川市', '砂川市', '歌志内市', '深川市', '南幌町', '奈井江町', '上砂川町', '由仁町', '長沼町', '栗山町', '月形町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '札幌市', '江別市', '千歳市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '室蘭市', '苫小牧市', '登別市', '伊達市', '豊浦町', '壮瞥町', '白老町', '厚真町', '洞爺湖町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '新ひだか町', '長万部町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '東川町', '美瑛町', '上富良野町', '中富良野町', '占冠村', '和寒町', '剣淵町', '美深町', '音威子府村', '中川町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '天塩町', '稚内市', '中頓別町', '豊富町', '幌延町'], ['浦河町', '様似町', 'えりも町', '愛別町', '上川町', '南富良野町', '下川町', '猿払村', '浜頓別町', '枝幸町', '北見市', '網走市', '紋別市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町', '大空町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '陸別町', '浦幌町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[183, 21, 20, 17, 3]
trans_facility = ['函館市', '乙部町', '七飯町', '北斗市', '松前町']
trans_blocks = [['函館市'], ['北斗市', '知内町', '木古内町'], ['松前町', '福島町'], ['七飯町', '鹿部町', '森町'], ['八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町']]

arrows = [[['札幌市'], ['函館市', '北斗市', '松前町', '七飯町', '乙部町']]]

----------------------  実行情報  ----------------------
実行時間＝146秒
個体数＝350
合計世代数＝145
------------------------  前提  ------------------------

waste=kanen

ごみ量17位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127)

焼却施設数: 2
中継施設数: 5

輸送単価＝ 300 円/t/km

---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 909909.51681, '本別町': 459658.41851999995}
IC_inc: {'札幌市': 271249.24567261536, '本別町': 70798.2890989703}
OC_inc: {'札幌市': 113577.45498291645, '本別町': 48935.47486116757}

TC_indirect: {'函館市': 124057.91593799999, '乙部町': 24234.47007, '七飯町': 14877.498270000002, '北斗市': 12098.11659, '松前町': 2345.634594}
IC_trans: {'函館市': 5938.345189785825, '乙部町': 926.1102884849646, '七飯町': 881.8343087757477, '北斗市': 768.7255939423317, '松前町': 169.12907683000452}
OC_trans: {'函館市': 404387.9082138076, '乙部町': 48141.25485537044, '七飯町': 45310.446924331256, '北斗市': 38232.93466409225, '松前町': 7067.034779957594}

=============================
Total cost: 2603565.759303048
=============================

----------------------  輸送情報  ----------------------

direct 札幌市(1877/2120) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町, 長万部町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 東川町, 美瑛町, 上富良野町, 中富良野町, 占冠村, 和寒町, 剣淵町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 中頓別町, 豊富町, 幌延町
indirect 札幌市(243/2120) t/day → receive from: 中継施設＝ 函館市(66649) → receive from: 函館市
                                                    　　　北斗市(6155) → receive from: 北斗市, 知内町, 木古内町
                                                    　　　松前町(953) → receive from: 松前町, 福島町
                                                    　　　七飯町(7257) → receive from: 七飯町, 鹿部町, 森町
                                                    　　　乙部町(7695) → receive from: 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 本別町(458/458) t/day → receive from: 浦河町, 様似町, えりも町, 愛別町, 上川町, 南富良野町, 下川町, 猿払村, 浜頓別町, 枝幸町, 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町

----------------------  遺伝情報  ----------------------

個体数＝350
世代数＝1000
0: neval=350{'avg': 4724235.939465347, 'max': 7477865.437571509, 'min': 3536487.360020359} best=3536487.360020359
1: neval=275{'avg': 4050218.8971472224, 'max': 6524372.233290264, 'min': 2961226.082429232} best=2961226.082429232
2: neval=284{'avg': 3773356.5768700666, 'max': 4864626.681322517, 'min': 3013680.353392446} best=2961226.082429232
3: neval=267{'avg': 3551806.929636817, 'max': 4411771.65923607, 'min': 2953214.932641359} best=2953214.932641359
4: neval=279{'avg': 3331801.9566023583, 'max': 4189953.0461103385, 'min': 2804979.299947462} best=2804979.299947462
5: neval=267{'avg': 3149687.6861150367, 'max': 4093756.005733771, 'min': 2776902.661192496} best=2776902.661192496
6: neval=278{'avg': 3015859.7700147186, 'max': 3607085.876034526, 'min': 2685163.2675050884} best=2685163.2675050884
7: neval=264{'avg': 2913063.269549265, 'max': 3529902.8603898957, 'min': 2685163.2675050884} best=2685163.2675050884
8: neval=260{'avg': 2829073.737603383, 'max': 3274044.7454153355, 'min': 2665855.9762220397} best=2665855.9762220397
9: neval=289{'avg': 2776432.263609367, 'max': 3012948.7648771796, 'min': 2665855.9762220397} best=2665855.9762220397
10: neval=280{'avg': 2726930.8575414363, 'max': 2946204.929683758, 'min': 2646726.5208740765} best=2646726.5208740765
11: neval=275{'avg': 2694384.9005758734, 'max': 3140520.5611307654, 'min': 2646726.5208740765} best=2646726.5208740765
12: neval=279{'avg': 2682066.4545272277, 'max': 2877059.103694342, 'min': 2645529.885768166} best=2645529.885768166
13: neval=262{'avg': 2674927.7887689625, 'max': 2802404.7595441276, 'min': 2642991.298140506} best=2642991.298140506
14: neval=262{'avg': 2665299.959844889, 'max': 3320960.461063282, 'min': 2642854.80195014} best=2642854.80195014
15: neval=280{'avg': 2652897.128519832, 'max': 3304617.212180067, 'min': 2642854.80195014} best=2642854.80195014
16: neval=252{'avg': 2645680.843801304, 'max': 2682897.1385699157, 'min': 2641971.917543305} best=2641971.917543305
17: neval=279{'avg': 2644140.6824373845, 'max': 2722833.4423726173, 'min': 2641971.917543305} best=2641971.917543305
18: neval=256{'avg': 2643066.2445906145, 'max': 2646726.5208740765, 'min': 2641971.917543305} best=2641971.917543305
19: neval=284{'avg': 2645366.8608059473, 'max': 3096275.1620585113, 'min': 2641256.814720506} best=2641256.814720506
20: neval=264{'avg': 2646545.677429465, 'max': 3069936.5043067, 'min': 2641256.814720506} best=2641256.814720506
21: neval=283{'avg': 2643046.966354904, 'max': 2869083.637696972, 'min': 2641256.814720506} best=2641256.814720506
22: neval=267{'avg': 2650427.8779424606, 'max': 4613160.449523736, 'min': 2641256.814720506} best=2641256.814720506
23: neval=273{'avg': 2646207.047077259, 'max': 3280445.818101758, 'min': 2641256.814720506} best=2641256.814720506
24: neval=262{'avg': 2644082.08639641, 'max': 3061474.005231198, 'min': 2641256.814720506} best=2641256.814720506
25: neval=285{'avg': 2643806.0911133913, 'max': 2960425.8872254416, 'min': 2641256.814720506} best=2641256.814720506
26: neval=275{'avg': 2641510.706484007, 'max': 2729403.829123198, 'min': 2641256.814720506} best=2641256.814720506
27: neval=262{'avg': 2641439.034215587, 'max': 2705033.637999083, 'min': 2641256.814720506} best=2641256.814720506
28: neval=282{'avg': 2641256.8147205054, 'max': 2641256.814720506, 'min': 2641256.814720506} best=2641256.814720506
29: neval=272{'avg': 2645917.209660475, 'max': 4067185.6794911786, 'min': 2641245.296215384} best=2641245.296215384
30: neval=263{'avg': 2641256.551440388, 'max': 2641256.814720506, 'min': 2641245.296215384} best=2641245.296215384
31: neval=275{'avg': 2643934.767888045, 'max': 3116113.9637433956, 'min': 2641245.296215384} best=2641245.296215384
32: neval=276{'avg': 2646540.905636049, 'max': 3113944.0602031853, 'min': 2641245.296215384} best=2641245.296215384
33: neval=279{'avg': 2643713.6078083725, 'max': 3193159.584263789, 'min': 2641245.296215384} best=2641245.296215384
34: neval=265{'avg': 2646161.020976066, 'max': 3430797.4064762513, 'min': 2641245.296215384} best=2641245.296215384
35: neval=277{'avg': 2643777.467171327, 'max': 3107733.449298208, 'min': 2641245.296215384} best=2641245.296215384
36: neval=284{'avg': 2642076.73132913, 'max': 2932247.58602648, 'min': 2641245.296215384} best=2641245.296215384
