局----------------------  実行情報  ----------------------
実行時間＝3668秒
個体数＝1050
合計世代数＝100
==============================
Total cost: -4244126.539594498
==============================
------------------------  前提  ------------------------

waste=sanpai

ごみ量31位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214), 安平町 (60328), 洞爺湖町 (54767), 厚岸町 (49048), 岩見沢市 (47176), 稚内市 (46228), 音更町 (44302), 標茶町 (43861), むかわ町 (42881), 厚真町 (42445), 北斗市 (42381), 弟子屈町 (39869), 恵庭市 (36267), 豊浦町 (36146), 中標津町 (35109), 浜中町 (33093), 北広島市 (30922)

焼却施設数: 8
中継施設数: 13

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste_name ='sanpai'
unit ='t/year'

inc_size= [2388591, 1604659, 1107995, 1090522, 750794, 584354, 337550, 3827]
inc_facility = ['苫小牧市', '釧路市', '室蘭市', '札幌市', '伊達市', '旭川市', '帯広市', '浦幌町']
inc_blocks = [['夕張市', '岩見沢市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村'], ['室蘭市'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '新ひだか町'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '八雲町', '長万部町', '今金町', 'せたな町'], ['芦別市', '深川市', '秩父別町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '幌加内町', '留萌市', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '滝上町', '西興部村'], ['南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '幕別町'], ['豊頃町', '浦幌町'], ['津別町', '釧路市', '釧路町', '鶴居村', '白糠町']]

trans_size=[430316, 243969, 173391, 125721, 87021, 82141, 70429, 59444, 57419, 24477, 22358, 20976, 11400]
trans_facility = ['登別市', '北斗市', '佐呂間町', '小樽市', '標茶町', '厚岸町', '中標津町', '稚内市', '滝川市', '根室市', '大樹町', '枝幸町', '池田町']
trans_blocks = [['美唄市', '赤平市', '滝川市', '砂川市', '歌志内市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '雨竜町', '北竜町', '増毛町'], ['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['登別市'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['根室市'], ['天塩町', '稚内市', '猿払村', '豊富町', '幌延町'], ['音威子府村', '中川町', '浜頓別町', '中頓別町', '枝幸町', '興部町', '雄武町'], ['北見市', '網走市', '紋別市', '美幌町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '大空町'], ['浦河町', '様似町', 'えりも町', '大樹町', '広尾町'], ['池田町', '本別町', '足寄町', '陸別町'], ['厚岸町', '浜中町'], ['小清水町', '標茶町', '弟子屈町'], ['清里町', '斜里町', '別海町', '中標津町', '標津町', '羅臼町']]

arrows = [[['札幌市'], ['小樽市']], [['室蘭市'], ['登別市']], [['伊達市'], ['北斗市']], [['旭川市'], ['枝幸町', '稚内市', '滝川市', '佐呂間町']], [['帯広市'], ['大樹町', '池田町']], [['釧路市'], ['根室市', '厚岸町', '中標津町', '標茶町']]]


---------------------  エネルギー情報  ---------------------
[296240.96327664587, 517629.19019977323, -5144161.799481876, 86165.1064109589]

EL_direct: {'苫小牧市': 94030.15908677084, '釧路市': 19918.363413541672, '室蘭市': 0.0, '札幌市': 54269.73578731251, '伊達市': 51493.30871560418, '旭川市': 57817.56074141668, '帯広市': 18472.23252225, '浦幌町': 239.60300975}
ED_inc: {'苫小牧市': -1620497.7071719335, '釧路市': -1088652.779104002, '室蘭市': -751699.7916587504, '札幌市': -739845.5409990874, '伊達市': -509363.0326658874, '旭川市': -354012.17307585484, '帯広市': -89697.65894258195, '浦幌町': 9606.884136221493}

EL_indirect: {'登別市': 22552.445014112, '北斗市': 152636.9015582277, '佐呂間町': 141218.18362633584, '小樽市': 24968.969471381006, '標茶町': 22380.9423789965, '厚岸町': 20735.049800569, '中標津町': 30115.285485220003, '稚内市': 48887.84917557884, '滝川市': 14916.590879551837, '根室市': 9062.761594848, '大樹町': 12271.765363457169, '枝幸町': 14256.920732424504, '池田町': 3625.5251190708336}
ED_trans: {'登別市': 26314.118136986304, '北斗市': 14918.871452054795, '佐呂間町': 10602.978410958904, '小樽市': 7687.925260273973, '標茶町': 5321.393753424658, '厚岸町': 5022.978410958904, '中標津町': 4306.781589041097, '稚内市': 3635.041315068493, '滝川市': 3511.211178082192, '根室市': 1496.7853150684934, '大樹町': 1367.2070136986304, '枝幸町': 1282.6967671232878, '池田町': 697.1178082191781}

----------------------  輸送情報  ----------------------

direct 苫小牧市(6544/6544) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町
direct 釧路市(3673/4396) t/day → receive from: 津別町, 釧路市, 釧路町, 鶴居村, 白糠町
indirect 釧路市(723/4396) t/day → receive from: 中継施設＝ 根室市(24477) → receive from: 根室市
厚岸町(82141) → receive from: 厚岸町, 浜中町
中標津町(70429) → receive from: 清里町, 斜里町, 別海町, 中標津町, 標津町, 羅臼町
標茶町(87021) → receive from: 小清水町, 標茶町, 弟子屈町
direct 室蘭市(1857/3036) t/day → receive from: 室蘭市
indirect 室蘭市(1179/3036) t/day → receive from: 中継施設＝ 登別市(430316) → receive from: 登別市
direct 札幌市(2643/2988) t/day → receive from: 夕張市, 岩見沢市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村
indirect 札幌市(344/2988) t/day → receive from: 中継施設＝ 小樽市(125721) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 伊達市(1389/2057) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
indirect 伊達市(668/2057) t/day → receive from: 中継施設＝ 北斗市(243969) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
direct 旭川市(748/1601) t/day → receive from: 芦別市, 深川市, 秩父別町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 滝上町, 西興部村
indirect 旭川市(853/1601) t/day → receive from: 中継施設＝ 枝幸町(20976) → receive from: 音威子府村, 中川町, 浜頓別町, 中頓別町, 枝幸町, 興部町, 雄武町
稚内市(59444) → receive from: 天塩町, 稚内市, 猿払村, 豊富町, 幌延町
滝川市(57419) → receive from: 美唄市, 赤平市, 滝川市, 砂川市, 歌志内市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 雨竜町, 北竜町, 増毛町
佐呂間町(173391) → receive from: 北見市, 網走市, 紋別市, 美幌町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 大空町
direct 帯広市(832/925) t/day → receive from: 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 幕別町
indirect 帯広市(92/925) t/day → receive from: 中継施設＝ 大樹町(22358) → receive from: 浦河町, 様似町, えりも町, 大樹町, 広尾町
池田町(11400) → receive from: 池田町, 本別町, 足寄町, 陸別町
direct 浦幌町(10/10) t/day → receive from: 豊頃町, 浦幌町

----------------------  遺伝情報  ----------------------

個体数＝1050
世代数＝100
0: neval=1050{'avg': -3181713.2361420956, 'max': -2391892.6526398472, 'min': -3791961.0775531335} best=-3791961.0775531335
1: neval=827{'avg': -3373257.166754648, 'max': -2742775.709231392, 'min': -3879980.96893362} best=-3879980.96893362
2: neval=846{'avg': -3530628.1836015545, 'max': -2760390.450828621, 'min': -3961456.4594845045} best=-3961456.4594845045
3: neval=815{'avg': -3669107.0388552286, 'max': -3002142.7921340014, 'min': -4022207.913973382} best=-4022207.913973382
4: neval=817{'avg': -3754591.956612842, 'max': -3039920.240164791, 'min': -4043499.8363299994} best=-4043499.8363299994
5: neval=824{'avg': -3825847.0473392024, 'max': -2686502.373955476, 'min': -4069195.335524406} best=-4069195.335524406
6: neval=846{'avg': -3875264.902618177, 'max': -2642622.1755282944, 'min': -4075416.248844175} best=-4075416.248844175
7: neval=834{'avg': -3933756.338817307, 'max': -2835345.6104791583, 'min': -4104163.3254462853} best=-4104163.3254462853
8: neval=842{'avg': -3973104.615428097, 'max': -3361885.6471311157, 'min': -4117478.9161089286} best=-4117478.9161089286
9: neval=820{'avg': -4005343.995833953, 'max': -3372059.6734259007, 'min': -4142090.0721277036} best=-4142090.0721277036
10: neval=826{'avg': -4037958.2474331227, 'max': -3496514.248273621, 'min': -4139911.25548124} best=-4142090.0721277036
11: neval=867{'avg': -4050720.827810541, 'max': -2281384.4534351034, 'min': -4152261.216419273} best=-4152261.216419273
12: neval=813{'avg': -4072854.3730017142, 'max': -2702008.469612365, 'min': -4157603.9237580844} best=-4157603.9237580844
13: neval=857{'avg': -4084982.5090230256, 'max': -3012268.350741628, 'min': -4158647.459070827} best=-4158647.459070827
14: neval=821{'avg': -4098349.614812653, 'max': -3707390.1346349744, 'min': -4190259.1973610683} best=-4190259.1973610683
15: neval=816{'avg': -4108930.727899926, 'max': -3123028.973563578, 'min': -4173964.863859047} best=-4190259.1973610683
16: neval=840{'avg': -4121951.779832714, 'max': -2940493.4378155926, 'min': -4183466.5995535133} best=-4190259.1973610683
17: neval=832{'avg': -4138808.105282838, 'max': -3488645.8121644775, 'min': -4187362.2889288324} best=-4190259.1973610683
18: neval=827{'avg': -4149656.9414458685, 'max': -3553129.5448618745, 'min': -4197429.47783847} best=-4197429.47783847
19: neval=848{'avg': -4162523.2320481264, 'max': -3600810.6527421614, 'min': -4202773.335726732} best=-4202773.335726732
20: neval=817{'avg': -4173649.908179113, 'max': -3316211.037867617, 'min': -4212896.803346421} best=-4212896.803346421
21: neval=807{'avg': -4182153.255115727, 'max': -3040311.417879882, 'min': -4212896.803346421} best=-4212896.803346421
22: neval=839{'avg': -4190654.906878591, 'max': -3202304.6641349737, 'min': -4221867.894758876} best=-4221867.894758876
23: neval=816{'avg': -4197025.477157721, 'max': -3184504.743864147, 'min': -4221924.474616759} best=-4221924.474616759
24: neval=811{'avg': -4204596.047063403, 'max': -3279138.647463592, 'min': -4227326.305652179} best=-4227326.305652179
25: neval=812{'avg': -4209120.949640083, 'max': -3219830.9730129805, 'min': -4229316.162741323} best=-4229316.162741323
26: neval=802{'avg': -4217598.8878164785, 'max': -4073887.0386841325, 'min': -4231058.023218303} best=-4231058.023218303
27: neval=837{'avg': -4219976.058137979, 'max': -3732626.916528528, 'min': -4232110.1592845125} best=-4232110.1592845125
28: neval=818{'avg': -4219054.368227604, 'max': -3312619.9011348127, 'min': -4232862.064730885} best=-4232862.064730885
29: neval=824{'avg': -4222301.205896954, 'max': -3049210.8910673647, 'min': -4233347.593441127} best=-4233347.593441127
30: neval=853{'avg': -4221736.647026353, 'max': -2389705.2719557374, 'min': -4236079.281649508} best=-4236079.281649508
31: neval=849{'avg': -4225778.659429864, 'max': -2893063.115978919, 'min': -4236079.281649508} best=-4236079.281649508
32: neval=837{'avg': -4225624.078858355, 'max': -2687392.513401268, 'min': -4237742.6419139635} best=-4237742.6419139635
33: neval=852{'avg': -4228579.953896394, 'max': -3420320.3359336113, 'min': -4237742.6419139635} best=-4237742.6419139635
34: neval=850{'avg': -4229448.504015335, 'max': -2414417.320812814, 'min': -4239203.961038702} best=-4239203.961038702
35: neval=805{'avg': -4230254.466658787, 'max': -3012116.659187074, 'min': -4239203.961038702} best=-4239203.961038702
36: neval=801{'avg': -4232868.531636824, 'max': -3194453.3421890354, 'min': -4239203.961038702} best=-4239203.961038702
37: neval=844{'avg': -4231405.94798852, 'max': -2909174.6050350834, 'min': -4239203.961038702} best=-4239203.961038702
38: neval=835{'avg': -4237055.648576043, 'max': -3656527.7900637626, 'min': -4239203.961038702} best=-4239203.961038702
39: neval=817{'avg': -4238229.385570355, 'max': -4052025.47491103, 'min': -4239203.961038702} best=-4239203.961038702
40: neval=853{'avg': -4237090.360903207, 'max': -3379762.367068066, 'min': -4239203.961038702} best=-4239203.961038702
41: neval=840{'avg': -4236039.962042655, 'max': -3285244.995922404, 'min': -4239203.961038702} best=-4239203.961038702
42: neval=833{'avg': -4234328.9253944345, 'max': -3407588.6465536803, 'min': -4239203.961038702} best=-4239203.961038702
43: neval=825{'avg': -4236666.131042046, 'max': -3545912.3339223075, 'min': -4239203.961038702} best=-4239203.961038702
44: neval=856{'avg': -4237341.193890474, 'max': -3387324.0392878964, 'min': -4239203.961038702} best=-4239203.961038702
45: neval=837{'avg': -4234773.792794454, 'max': -3292736.3220058065, 'min': -4239203.961038702} best=-4239203.961038702
46: neval=813{'avg': -4235094.6824680185, 'max': -3268284.066077201, 'min': -4239203.961038702} best=-4239203.961038702
47: neval=829{'avg': -4236743.402848882, 'max': -3128915.872465396, 'min': -4239203.961038702} best=-4239203.961038702
48: neval=794{'avg': -4238381.192998844, 'max': -3838691.857739856, 'min': -4239203.961038702} best=-4239203.961038702
49: neval=825{'avg': -4236501.322645781, 'max': -3311259.4027774967, 'min': -4239203.961038702} best=-4239203.961038702
50: neval=851{'avg': -4236126.732847753, 'max': -3206093.3105105977, 'min': -4239203.961038702} best=-4239203.961038702
51: neval=836{'avg': -4237311.497481332, 'max': -3243643.7042264976, 'min': -4239203.961038702} best=-4239203.961038702
52: neval=829{'avg': -4236430.333652969, 'max': -3475570.1155140414, 'min': -4239203.961038702} best=-4239203.961038702
53: neval=808{'avg': -4237495.709934126, 'max': -3231497.415823894, 'min': -4239203.961038702} best=-4239203.961038702
54: neval=840{'avg': -4230841.694766293, 'max': -3279033.23523812, 'min': -4239203.961038702} best=-4239203.961038702
55: neval=874{'avg': -4231709.024975542, 'max': -2827410.196926749, 'min': -4239203.961038702} best=-4239203.961038702
56: neval=838{'avg': -4238087.901835692, 'max': -3915248.752546253, 'min': -4239203.961038702} best=-4239203.961038702
57: neval=797{'avg': -4235841.022058561, 'max': -3275415.550540949, 'min': -4239203.961038702} best=-4239203.961038702
58: neval=848{'avg': -4236738.3096718965, 'max': -3560314.3247540514, 'min': -4239203.961038702} best=-4239203.961038702
59: neval=821{'avg': -4233500.870051227, 'max': -3150940.2369800406, 'min': -4239203.961038702} best=-4239203.961038702
60: neval=834{'avg': -4235610.567334489, 'max': -3145478.3793871566, 'min': -4239203.961038702} best=-4239203.961038702
61: neval=862{'avg': -4234909.653306027, 'max': -3254433.661048462, 'min': -4240586.8790267} best=-4240586.8790267
62: neval=798{'avg': -4234118.545384495, 'max': -3277088.756635682, 'min': -4240586.8790267} best=-4240586.8790267
63: neval=807{'avg': -4236570.637173242, 'max': -3463326.2145368047, 'min': -4240586.8790267} best=-4240586.8790267
64: neval=850{'avg': -4235236.055787702, 'max': -2826310.5378803597, 'min': -4240586.8790267} best=-4240586.8790267
65: neval=859{'avg': -4234572.0936308, 'max': -2932833.840957187, 'min': -4240586.8790267} best=-4240586.8790267
66: neval=807{'avg': -4237510.207106659, 'max': -3466915.395842219, 'min': -4240586.8790267} best=-4240586.8790267
67: neval=829{'avg': -4239133.7583843935, 'max': -3355605.67749771, 'min': -4240586.8790267} best=-4240586.8790267
68: neval=839{'avg': -4237457.613955701, 'max': -3422438.46939734, 'min': -4240586.8790267} best=-4240586.8790267
69: neval=813{'avg': -4235676.64057086, 'max': -2823961.9376935223, 'min': -4240586.8790267} best=-4240586.8790267
70: neval=861{'avg': -4238157.615222301, 'max': -3297480.519672693, 'min': -4240586.8790267} best=-4240586.8790267
71: neval=858{'avg': -4237469.629849504, 'max': -3513523.539237287, 'min': -4240586.8790267} best=-4240586.8790267
72: neval=835{'avg': -4236805.006826706, 'max': -3435489.627196799, 'min': -4240586.8790267} best=-4240586.8790267
