局----------------------  実行情報  ----------------------
実行時間＝3791秒
個体数＝1050
合計世代数＝100
==============================
Total cost: -4243367.012714622
==============================
------------------------  前提  ------------------------

waste=sanpai

ごみ量31位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214), 安平町 (60328), 洞爺湖町 (54767), 厚岸町 (49048), 岩見沢市 (47176), 稚内市 (46228), 音更町 (44302), 標茶町 (43861), むかわ町 (42881), 厚真町 (42445), 北斗市 (42381), 弟子屈町 (39869), 恵庭市 (36267), 豊浦町 (36146), 中標津町 (35109), 浜中町 (33093), 北広島市 (30922)

焼却施設数: 9
中継施設数: 12

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste_name ='sanpai'
unit ='t/year'

inc_size= [2266181, 1602881, 1107995, 889096, 750794, 656375, 512544, 78724, 3702]
inc_facility = ['苫小牧市', '釧路市', '室蘭市', '札幌市', '伊達市', '長沼町', '帯広市', '稚内市', '夕張市']
inc_blocks = [['岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '江別市', '千歳市', '恵庭市', '北広島市', '新篠津村', '安平町', '富良野市'], ['月形町', '札幌市', '石狩市', '当別町'], ['室蘭市'], ['苫小牧市', '白老町', '厚真町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '八雲町', '長万部町', '今金町', 'せたな町'], ['夕張市', '占冠村'], ['音威子府村', '中川町', '初山別村', '遠別町', '天塩町', '稚内市', '猿払村', '浜頓別町', '中頓別町', '枝幸町', '豊富町', '幌延町'], ['様似町', 'えりも町', '南富良野町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '鶴居村', '白糠町']]

trans_size=[430316, 243969, 187030, 144012, 125721, 106618, 87021, 70429, 64476, 37132, 34625, 21130]
trans_facility = ['登別市', '北斗市', '旭川市', '訓子府町', '小樽市', '厚岸町', '標茶町', '中標津町', '滝川市', '遠軽町', '士別市', '留萌市']
trans_blocks = [['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町'], ['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['旭川市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '幌加内町'], ['士別市', '名寄市', '和寒町', '剣淵町', '下川町', '美深町', '西興部村'], ['沼田町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町'], ['北見市', '網走市', '美幌町', '津別町', '訓子府町', '置戸町', '大空町', '陸別町'], ['紋別市', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '雄武町'], ['厚岸町', '浜中町', '根室市'], ['小清水町', '標茶町', '弟子屈町'], ['登別市'], ['清里町', '斜里町', '別海町', '中標津町', '標津町', '羅臼町']]

arrows = [[['長沼町'], ['士別市', '留萌市', '滝川市', '旭川市']], [['札幌市'], ['小樽市']], [['室蘭市'], ['登別市']], [['伊達市'], ['北斗市']], [['帯広市'], ['遠軽町', '訓子府町']], [['釧路市'], ['厚岸町', '中標津町', '標茶町']]]


---------------------  エネルギー情報  ---------------------
[262868.3469064792, 542292.1588447199, -5143462.672657602, 94935.15419178084]

EL_direct: {'苫小牧市': 68147.63318675001, '釧路市': 18366.688811791668, '室蘭市': 0.0, '札幌市': 5346.417496604167, '伊達市': 51493.30871560418, '長沼町': 65386.14623233334, '帯広市': 33420.56927002084, '稚内市': 20330.31159629167, '夕張市': 377.27159708333335}
ED_inc: {'苫小牧市': -1537450.7877391311, '釧路市': -1087446.526161011, '室蘭市': -751699.7916587504, '札幌市': -603191.6010132071, '伊達市': -509363.0326658874, '長沼町': -444918.9892460666, '帯広市': -268861.54330386524, '稚内市': 50100.318107679945, '夕張市': 9369.281022638073}

EL_indirect: {'登別市': 22552.445014112, '北斗市': 152636.9015582277, '旭川市': 77223.21658464833, '訓子府町': 91177.58879933601, '小樽市': 24968.969471381006, '厚岸町': 39133.498336712, '標茶町': 22380.9423789965, '中標津町': 30115.285485220003, '滝川市': 20512.729825945506, '遠軽町': 27758.112566285832, '士別市': 22363.89819002084, '留萌市': 11468.570633834166}
ED_trans: {'登別市': 26314.118136986304, '北斗市': 14918.871452054795, '旭川市': 11437.012602739727, '訓子府町': 8806.432438356165, '小樽市': 7687.925260273973, '厚岸町': 6519.763726027399, '標茶町': 5321.393753424658, '中標津町': 4306.781589041097, '滝川市': 3942.751561643836, '遠軽町': 2270.6472328767127, '士別市': 2117.342465753425, '留萌市': 1292.1139726027398}

----------------------  輸送情報  ----------------------

direct 苫小牧市(6209/6209) t/day → receive from: 苫小牧市, 白老町, 厚真町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 釧路市(3668/4391) t/day → receive from: 釧路市, 釧路町, 鶴居村, 白糠町
indirect 釧路市(723/4391) t/day → receive from: 中継施設＝ 厚岸町(106618) → receive from: 厚岸町, 浜中町, 根室市
中標津町(70429) → receive from: 清里町, 斜里町, 別海町, 中標津町, 標津町, 羅臼町
標茶町(87021) → receive from: 小清水町, 標茶町, 弟子屈町
direct 室蘭市(1857/3036) t/day → receive from: 室蘭市
indirect 室蘭市(1179/3036) t/day → receive from: 中継施設＝ 登別市(430316) → receive from: 登別市
direct 札幌市(2091/2436) t/day → receive from: 月形町, 札幌市, 石狩市, 当別町
indirect 札幌市(344/2436) t/day → receive from: 中継施設＝ 小樽市(125721) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 伊達市(1389/2057) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
indirect 伊達市(668/2057) t/day → receive from: 中継施設＝ 北斗市(243969) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
direct 長沼町(956/1798) t/day → receive from: 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 江別市, 千歳市, 恵庭市, 北広島市, 新篠津村, 安平町, 富良野市
indirect 長沼町(842/1798) t/day → receive from: 中継施設＝ 士別市(34625) → receive from: 士別市, 名寄市, 和寒町, 剣淵町, 下川町, 美深町, 西興部村
留萌市(21130) → receive from: 沼田町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町
滝川市(64476) → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町
旭川市(187030) → receive from: 旭川市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 幌加内町
direct 帯広市(908/1404) t/day → receive from: 様似町, えりも町, 南富良野町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
indirect 帯広市(496/1404) t/day → receive from: 中継施設＝ 遠軽町(37132) → receive from: 紋別市, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 雄武町
訓子府町(144012) → receive from: 北見市, 網走市, 美幌町, 津別町, 訓子府町, 置戸町, 大空町, 陸別町
direct 稚内市(216/216) t/day → receive from: 音威子府村, 中川町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 幌延町
direct 夕張市(10/10) t/day → receive from: 夕張市, 占冠村

----------------------  遺伝情報  ----------------------

個体数＝1050
世代数＝100
0: neval=1050{'avg': -3205943.010396249, 'max': -2356313.579586381, 'min': -3873732.3370045274} best=-3873732.3370045274
1: neval=844{'avg': -3367240.634188553, 'max': -2288011.8187052403, 'min': -3879752.320870861} best=-3879752.320870861
2: neval=824{'avg': -3504489.976792405, 'max': -2668424.351781996, 'min': -3962249.4237215836} best=-3962249.4237215836
3: neval=818{'avg': -3605259.243339548, 'max': -2621198.1095826617, 'min': -3962635.353881718} best=-3962635.353881718
4: neval=823{'avg': -3679841.6024644235, 'max': -3188662.7801147965, 'min': -3966261.377602243} best=-3966261.377602243
5: neval=850{'avg': -3749308.6707451893, 'max': -3097927.633123044, 'min': -3966261.377602243} best=-3966261.377602243
6: neval=828{'avg': -3798266.4732865244, 'max': -2896951.1693365113, 'min': -4011706.4511813} best=-4011706.4511813
7: neval=813{'avg': -3854990.937557238, 'max': -3320122.608836158, 'min': -4047061.297827935} best=-4047061.297827935
8: neval=837{'avg': -3893293.195787642, 'max': -2931216.3699819394, 'min': -4057881.6503019696} best=-4057881.6503019696
9: neval=855{'avg': -3920184.0968311266, 'max': -3276454.589708433, 'min': -4057881.6503019696} best=-4057881.6503019696
10: neval=832{'avg': -3950649.3903146028, 'max': -3362259.3455662043, 'min': -4057881.6503019696} best=-4057881.6503019696
11: neval=839{'avg': -3976253.0842479467, 'max': -3503764.544222322, 'min': -4062035.3904422796} best=-4062035.3904422796
12: neval=823{'avg': -4004142.886515918, 'max': -3561240.7508062967, 'min': -4087192.77923144} best=-4087192.77923144
13: neval=844{'avg': -4018977.5549489385, 'max': -2932317.717098286, 'min': -4091765.010010328} best=-4091765.010010328
14: neval=833{'avg': -4031830.708058439, 'max': -3126253.341795655, 'min': -4091765.010010328} best=-4091765.010010328
15: neval=806{'avg': -4047562.0345787876, 'max': -3636352.3127029804, 'min': -4096596.62875096} best=-4096596.62875096
16: neval=834{'avg': -4055973.242182878, 'max': -3376347.53476704, 'min': -4100862.984135875} best=-4100862.984135875
17: neval=852{'avg': -4059287.99137048, 'max': -2535767.5082051135, 'min': -4112172.069137351} best=-4112172.069137351
18: neval=812{'avg': -4066970.6231876826, 'max': -3149540.9883530396, 'min': -4108584.433718657} best=-4112172.069137351
19: neval=838{'avg': -4072242.0899603255, 'max': -3690613.0031090225, 'min': -4109683.801085274} best=-4112172.069137351
20: neval=826{'avg': -4077866.259277616, 'max': -3375005.1268071174, 'min': -4117550.5182661396} best=-4117550.5182661396
21: neval=806{'avg': -4081671.1147451457, 'max': -2806163.142724549, 'min': -4118279.78096055} best=-4118279.78096055
22: neval=776{'avg': -4092749.451992331, 'max': -3394832.5000766427, 'min': -4130072.209210534} best=-4130072.209210534
23: neval=827{'avg': -4102269.3843399794, 'max': -2934262.0475252857, 'min': -4130072.209210534} best=-4130072.209210534
24: neval=795{'avg': -4108688.3501333054, 'max': -3368152.1403423054, 'min': -4130072.209210534} best=-4130072.209210534
25: neval=802{'avg': -4109716.683315328, 'max': -2984211.978561378, 'min': -4137275.324753741} best=-4137275.324753741
26: neval=838{'avg': -4115751.5816142852, 'max': -3419775.7753793993, 'min': -4152126.373633473} best=-4152126.373633473
27: neval=844{'avg': -4119610.2272795425, 'max': -3616937.006132766, 'min': -4152126.373633473} best=-4152126.373633473
28: neval=866{'avg': -4125558.9507097607, 'max': -3697036.526253311, 'min': -4143890.99634783} best=-4152126.373633473
29: neval=823{'avg': -4127684.546118289, 'max': -3222293.777310839, 'min': -4152696.8697741763} best=-4152696.8697741763
30: neval=833{'avg': -4128902.7817106047, 'max': -3101265.3417473403, 'min': -4153579.484449947} best=-4153579.484449947
31: neval=835{'avg': -4135386.0838812483, 'max': -2833874.3142396268, 'min': -4153397.999206161} best=-4153579.484449947
32: neval=822{'avg': -4140094.923819047, 'max': -3648503.18000189, 'min': -4157248.097555829} best=-4157248.097555829
33: neval=822{'avg': -4144255.7875079964, 'max': -3657105.8539511287, 'min': -4159086.479971142} best=-4159086.479971142
34: neval=840{'avg': -4144009.6495098695, 'max': -2804370.082781125, 'min': -4161259.8320649075} best=-4161259.8320649075
35: neval=826{'avg': -4151197.266503503, 'max': -3733670.4443307645, 'min': -4163829.4216489163} best=-4163829.4216489163
36: neval=827{'avg': -4153369.4428733634, 'max': -3679084.9475431773, 'min': -4163098.2144802213} best=-4163829.4216489163
37: neval=840{'avg': -4151528.6149049895, 'max': -3389086.4393354477, 'min': -4164477.197368686} best=-4164477.197368686
38: neval=826{'avg': -4158271.269516905, 'max': -3653964.9186463086, 'min': -4168874.4519534935} best=-4168874.4519534935
39: neval=811{'avg': -4161207.5928596314, 'max': -3486777.495231615, 'min': -4172869.414769378} best=-4172869.414769378
40: neval=821{'avg': -4162901.183609905, 'max': -3647961.430983241, 'min': -4174124.967565916} best=-4174124.967565916
41: neval=848{'avg': -4163324.499257316, 'max': -3688969.961508017, 'min': -4180292.9304133896} best=-4180292.9304133896
42: neval=802{'avg': -4163030.0919358917, 'max': -3393571.6277663778, 'min': -4179505.119252723} best=-4180292.9304133896
43: neval=851{'avg': -4166720.803146818, 'max': -3599690.6286074272, 'min': -4179976.5732235466} best=-4180292.9304133896
44: neval=849{'avg': -4167367.5545730717, 'max': -2626814.9237127258, 'min': -4179976.5732235466} best=-4180292.9304133896
45: neval=842{'avg': -4173970.6088972935, 'max': -3683798.1229738286, 'min': -4181131.810377734} best=-4181131.810377734
46: neval=828{'avg': -4173703.377804678, 'max': -3517249.6763156895, 'min': -4181131.810377734} best=-4181131.810377734
47: neval=811{'avg': -4174687.467208174, 'max': -3166021.3145817886, 'min': -4181556.5553781604} best=-4181556.5553781604
48: neval=824{'avg': -4178957.2509024893, 'max': -3728729.48670643, 'min': -4181603.2643485563} best=-4181603.2643485563
49: neval=833{'avg': -4176778.1858066376, 'max': -3583842.55823622, 'min': -4181603.2643485563} best=-4181603.2643485563
50: neval=835{'avg': -4176340.7857499216, 'max': -2771855.1379839396, 'min': -4181603.2643485563} best=-4181603.2643485563
51: neval=833{'avg': -4175019.794227453, 'max': -3052642.841971105, 'min': -4181603.2643485563} best=-4181603.2643485563
52: neval=834{'avg': -4178309.0760329445, 'max': -3265747.889081342, 'min': -4190953.535425166} best=-4190953.535425166
53: neval=835{'avg': -4176358.983028021, 'max': -3325049.1810279842, 'min': -4190953.535425166} best=-4190953.535425166
54: neval=858{'avg': -4179515.929703885, 'max': -3780578.8464285876, 'min': -4190953.535425166} best=-4190953.535425166
55: neval=834{'avg': -4178873.5438149623, 'max': -3550437.3634494287, 'min': -4196393.408443619} best=-4196393.408443619
56: neval=863{'avg': -4180600.33953608, 'max': -3645369.800071708, 'min': -4196393.408443619} best=-4196393.408443619
57: neval=809{'avg': -4181046.395234426, 'max': -2737654.416922107, 'min': -4196393.408443619} best=-4196393.408443619
58: neval=840{'avg': -4184382.9348814213, 'max': -3601727.7953564427, 'min': -4196393.408443619} best=-4196393.408443619
59: neval=814{'avg': -4188346.6739557013, 'max': -2762923.9243483837, 'min': -4196393.408443619} best=-4196393.408443619
60: neval=818{'avg': -4194229.470133291, 'max': -3703526.839390013, 'min': -4196393.408443619} best=-4196393.408443619
61: neval=842{'avg': -4194366.675089933, 'max': -3538706.619213364, 'min': -4196393.408443619} best=-4196393.408443619
62: neval=846{'avg': -4191948.55727276, 'max': -3277149.5019209064, 'min': -4196393.408443619} best=-4196393.408443619
63: neval=836{'avg': -4193719.987757017, 'max': -3514287.062037568, 'min': -4196393.408443619} best=-4196393.408443619
64: neval=841{'avg': -4190264.317629987, 'max': -2951329.6501211794, 'min': -4196393.408443619} best=-4196393.408443619
65: neval=854{'avg': -4189567.151676526, 'max': -2890348.2561789947, 'min': -4196393.408443619} best=-4196393.408443619
66: neval=822{'avg': -4189378.06154561, 'max': -2671269.1970234714, 'min': -4196393.408443619} best=-4196393.408443619
67: neval=780{'avg': -4193213.279648641, 'max': -3647693.154555761, 'min': -4196393.408443619} best=-4196393.408443619
68: neval=806{'avg': -4193869.1889382135, 'max': -3060712.912943514, 'min': -4196393.408443619} best=-4196393.408443619
69: neval=813{'avg': -4193477.0828467035, 'max': -3570380.313415652, 'min': -4196393.408443619} best=-4196393.408443619
70: neval=831{'avg': -4194466.7192984605, 'max': -3548705.2040924984, 'min': -4196393.408443619} best=-4196393.408443619
71: neval=817{'avg': -4193952.606822686, 'max': -3492937.0399894663, 'min': -4196393.408443619} best=-4196393.408443619
72: neval=837{'avg': -4193397.9564743433, 'max': -3458679.1071827975, 'min': -4196393.408443619} best=-4196393.408443619
