----------------------  実行情報  ----------------------
実行時間＝2403秒
個体数＝800
合計世代数＝100
===============================
Total cost: -4187121.9155773884
===============================
------------------------  前提  ------------------------

waste=sanpai

ごみ量26位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214), 安平町 (60328), 洞爺湖町 (54767), 厚岸町 (49048), 岩見沢市 (47176), 稚内市 (46228), 音更町 (44302), 標茶町 (43861), むかわ町 (42881), 厚真町 (42445), 北斗市 (42381), 弟子屈町 (39869)

焼却施設数: 8
中継施設数: 8

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste_name ='sanpai'
unit ='t/year'

inc_size= [2388591, 1602881, 1107995, 1098496, 750794, 512719, 402989, 3827]
inc_facility = ['苫小牧市', '釧路市', '室蘭市', '札幌市', '伊達市', '帯広市', '旭川市', '浦幌町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村'], ['室蘭市', '登別市'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '新ひだか町'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '八雲町', '長万部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '音威子府村', '中川町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '中頓別町', '枝幸町', '滝上町', '興部町', '西興部村', '雄武町'], ['南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '幕別町'], ['豊頃町', '浦幌町'], ['釧路市', '釧路町', '鶴居村', '白糠町']]

trans_size=[243969, 176442, 139153, 125721, 124915, 63711, 22358, 10127]
trans_facility = ['北斗市', '置戸町', '標茶町', '小樽市', '厚岸町', '稚内市', '大樹町', '池田町']
trans_blocks = [['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['天塩町', '稚内市', '猿払村', '浜頓別町', '豊富町', '幌延町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '大空町', '陸別町'], ['浦河町', '様似町', 'えりも町', '大樹町', '広尾町'], ['池田町', '本別町', '足寄町'], ['厚岸町', '浜中町', '根室市', '別海町'], ['清里町', '斜里町', '小清水町', '標茶町', '弟子屈町', '中標津町', '標津町', '羅臼町']]

arrows = [[['札幌市'], ['小樽市']], [['伊達市'], ['北斗市']], [['旭川市'], ['稚内市']], [['帯広市'], ['大樹町', '池田町', '置戸町']], [['釧路市'], ['厚岸町', '標茶町']]]


---------------------  エネルギー情報  ---------------------
[401876.850926146, 480630.07761992386, -5125055.580342636, 55426.736219178085]

EL_direct: {'苫小牧市': 94030.15908677084, '釧路市': 18366.688811791668, '室蘭市': 58730.32555758334, '札幌市': 58220.44362143751, '伊達市': 51493.30871560418, '帯広市': 18472.23252225, '旭川市': 102324.08960095837, '浦幌町': 239.60300975}
ED_inc: {'苫小牧市': -1620497.7071719335, '釧路市': -1087446.526161011, '室蘭市': -751699.7916587504, '札幌市': -745255.3615656846, '伊達市': -509363.0326658874, '帯広市': -269061.8075952248, '旭川市': -151338.23766036602, '浦幌町': 9606.884136221493}

EL_indirect: {'北斗市': 152636.9015582277, '置戸町': 128683.32609307503, '標茶町': 54832.35754066201, '小樽市': 24968.969471381006, '厚岸町': 49716.3359342975, '稚内市': 54762.85174527701, '大樹町': 12271.765363457169, '池田町': 2757.5699135465}
ED_trans: {'北斗市': 14918.871452054795, '置戸町': 10789.549150684932, '標茶町': 8509.301260273973, '小樽市': 7687.925260273973, '厚岸町': 7638.6378082191795, '稚内市': 3895.971287671233, '大樹町': 1367.2070136986304, '池田町': 619.2729863013699}

----------------------  輸送情報  ----------------------

direct 苫小牧市(6544/6544) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町
direct 釧路市(3668/4391) t/day → receive from: 釧路市, 釧路町, 鶴居村, 白糠町
indirect 釧路市(723/4391) t/day → receive from: 中継施設＝ 厚岸町(124915) → receive from: 厚岸町, 浜中町, 根室市, 別海町
標茶町(139153) → receive from: 清里町, 斜里町, 小清水町, 標茶町, 弟子屈町, 中標津町, 標津町, 羅臼町
direct 室蘭市(3036/3036) t/day → receive from: 室蘭市, 登別市
direct 札幌市(2665/3010) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村
indirect 札幌市(344/3010) t/day → receive from: 中継施設＝ 小樽市(125721) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 伊達市(1389/2057) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
indirect 伊達市(668/2057) t/day → receive from: 中継施設＝ 北斗市(243969) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
direct 帯広市(832/1405) t/day → receive from: 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 幕別町
indirect 帯広市(572/1405) t/day → receive from: 中継施設＝ 大樹町(22358) → receive from: 浦河町, 様似町, えりも町, 大樹町, 広尾町
池田町(10127) → receive from: 池田町, 本別町, 足寄町
置戸町(176442) → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 大空町, 陸別町
direct 旭川市(930/1104) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 中頓別町, 枝幸町, 滝上町, 興部町, 西興部村, 雄武町
indirect 旭川市(175/1104) t/day → receive from: 中継施設＝ 稚内市(63711) → receive from: 天塩町, 稚内市, 猿払村, 浜頓別町, 豊富町, 幌延町
direct 浦幌町(10/10) t/day → receive from: 豊頃町, 浦幌町

----------------------  遺伝情報  ----------------------

個体数＝800
世代数＝100
0: neval=800{'avg': -3214140.389138767, 'max': -2289925.4300936135, 'min': -3906915.236648157} best=-3906915.236648157
1: neval=628{'avg': -3417050.5924551487, 'max': -2854645.345936569, 'min': -3931966.8303577476} best=-3931966.8303577476
2: neval=636{'avg': -3563956.852432729, 'max': -2085827.4444017662, 'min': -3942508.5593770044} best=-3942508.5593770044
3: neval=636{'avg': -3683124.8783070566, 'max': -2723761.059078515, 'min': -4015687.6801769347} best=-4015687.6801769347
4: neval=613{'avg': -3779139.3568738317, 'max': -2754115.0847153035, 'min': -4069392.243364951} best=-4069392.243364951
5: neval=622{'avg': -3835561.2053251844, 'max': -3226065.4521256117, 'min': -4069392.243364951} best=-4069392.243364951
6: neval=618{'avg': -3885453.437720465, 'max': -2439137.1817283146, 'min': -4087306.25425274} best=-4087306.25425274
7: neval=648{'avg': -3921886.7749876287, 'max': -2512156.224017347, 'min': -4087191.201286411} best=-4087306.25425274
8: neval=633{'avg': -3962571.064317694, 'max': -3399873.4825481786, 'min': -4094916.223721719} best=-4094916.223721719
9: neval=632{'avg': -3990136.8840383007, 'max': -3281692.5919647557, 'min': -4108367.455378218} best=-4108367.455378218
10: neval=632{'avg': -4015214.2014243915, 'max': -3566410.6108166724, 'min': -4110961.036627803} best=-4110961.036627803
11: neval=603{'avg': -4044423.287963252, 'max': -3737657.2988077635, 'min': -4117788.616444469} best=-4117788.616444469
12: neval=630{'avg': -4056654.6003602184, 'max': -3275970.039300728, 'min': -4115715.4941418464} best=-4117788.616444469
13: neval=636{'avg': -4071346.852030713, 'max': -3309598.5150097064, 'min': -4121003.408015909} best=-4121003.408015909
14: neval=643{'avg': -4082289.7525303443, 'max': -3096079.174369234, 'min': -4137875.041507897} best=-4137875.041507897
15: neval=619{'avg': -4094819.472059535, 'max': -3493947.77523832, 'min': -4137945.3628034727} best=-4137945.3628034727
16: neval=631{'avg': -4099974.9337397576, 'max': -2789569.2324945056, 'min': -4137875.041507897} best=-4137945.3628034727
17: neval=634{'avg': -4105195.457910127, 'max': -2670326.8279583286, 'min': -4142837.738984686} best=-4142837.738984686
18: neval=627{'avg': -4111356.604452668, 'max': -2894940.271660909, 'min': -4145503.7878537793} best=-4145503.7878537793
19: neval=616{'avg': -4123765.236230041, 'max': -3829149.7093068915, 'min': -4150805.474481766} best=-4150805.474481766
20: neval=641{'avg': -4125740.148981788, 'max': -2928047.983879216, 'min': -4150972.442935997} best=-4150972.442935997
21: neval=625{'avg': -4133184.481445724, 'max': -3727184.5511054522, 'min': -4152366.787335256} best=-4152366.787335256
22: neval=662{'avg': -4133558.5055698375, 'max': -2952911.6312517864, 'min': -4154747.3798422557} best=-4154747.3798422557
23: neval=624{'avg': -4141107.2879119683, 'max': -3741443.639348095, 'min': -4154747.3798422557} best=-4154747.3798422557
24: neval=606{'avg': -4145860.4847741993, 'max': -3773159.666057466, 'min': -4155855.20074404} best=-4155855.20074404
25: neval=647{'avg': -4146574.3025830286, 'max': -3030126.1593281548, 'min': -4157191.9684502115} best=-4157191.9684502115
26: neval=651{'avg': -4147876.7300727735, 'max': -3143031.4519083374, 'min': -4159704.7661559503} best=-4159704.7661559503
27: neval=630{'avg': -4151744.7670651255, 'max': -3738616.5553702544, 'min': -4161596.396831535} best=-4161596.396831535
28: neval=651{'avg': -4152266.726521592, 'max': -3416066.4433763865, 'min': -4169902.1012707343} best=-4169902.1012707343
29: neval=625{'avg': -4154525.464811402, 'max': -3245296.2267073803, 'min': -4174600.886273199} best=-4174600.886273199
30: neval=636{'avg': -4154588.4077622714, 'max': -2804118.506050167, 'min': -4180991.158254687} best=-4180991.158254687
31: neval=640{'avg': -4159715.8579484434, 'max': -3270531.3291090345, 'min': -4180991.158254687} best=-4180991.158254687
32: neval=630{'avg': -4165638.251458706, 'max': -3767596.1810103003, 'min': -4180991.158254687} best=-4180991.158254687
33: neval=634{'avg': -4170883.0986824436, 'max': -3649594.4551421623, 'min': -4180991.158254687} best=-4180991.158254687
34: neval=628{'avg': -4175219.5087311105, 'max': -3385084.356489299, 'min': -4180991.158254687} best=-4180991.158254687
35: neval=615{'avg': -4177029.598096134, 'max': -3748250.7339378954, 'min': -4180991.158254687} best=-4180991.158254687
36: neval=620{'avg': -4175990.9599596383, 'max': -2518194.9569332064, 'min': -4180991.158254687} best=-4180991.158254687
37: neval=616{'avg': -4179419.806795646, 'max': -3715616.0752443173, 'min': -4180991.158254687} best=-4180991.158254687
38: neval=619{'avg': -4177849.188383646, 'max': -3546534.237281006, 'min': -4180991.158254687} best=-4180991.158254687
39: neval=619{'avg': -4179876.9047637177, 'max': -3953812.7192903473, 'min': -4180991.158254687} best=-4180991.158254687
40: neval=644{'avg': -4173507.8863789444, 'max': -2773492.750652368, 'min': -4180991.158254687} best=-4180991.158254687
41: neval=625{'avg': -4177383.144308739, 'max': -2695624.962244734, 'min': -4180991.158254687} best=-4180991.158254687
42: neval=636{'avg': -4177875.394054274, 'max': -3401149.4902768745, 'min': -4180991.158254687} best=-4180991.158254687
43: neval=613{'avg': -4177278.986322822, 'max': -3518667.790873274, 'min': -4180991.158254687} best=-4180991.158254687
44: neval=620{'avg': -4176237.2082161903, 'max': -2679821.1733921836, 'min': -4180991.158254687} best=-4180991.158254687
45: neval=636{'avg': -4176376.8011975503, 'max': -3283240.389816653, 'min': -4180991.158254687} best=-4180991.158254687
46: neval=615{'avg': -4176357.8353214525, 'max': -3222962.521712761, 'min': -4182083.4628311656} best=-4182083.4628311656
47: neval=623{'avg': -4176227.7336946656, 'max': -3283677.9846520415, 'min': -4182083.4628311656} best=-4182083.4628311656
