----------------------  実行情報  ----------------------
実行時間＝3506秒
個体数＝1200
合計世代数＝380
=============================
Total cost: 1159069.313377917
=============================
------------------------  前提  ------------------------

waste=kanen

ごみ量34位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395), 紋別市 (3325), 中札内村 (2807), 芽室町 (2638), 東神楽町 (2584)

焼却施設数: 16
中継施設数: 8

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

waste =kanen

inc_size= [448337, 133599, 96582, 89763, 61374, 45633, 39598, 9387, 7409, 5428, 2385, 819, 565, 97, 63, 57]

inc_facility = ['札幌市', '苫小牧市', '旭川市', '函館市', '帯広市', '釧路市', '北見市', '中標津町', '稚内市', '根室市', '枝幸町', '増毛町', '羽幌町', '苫前町', '遠別町', '豊富町']
inc_blocks = [['札幌市', '江別市', '北広島市', '石狩市', '当別町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町'], ['苫小牧市', '白老町', '厚真町', 'むかわ町', '平取町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['深川市', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '幌加内町'], ['留萌市', '増毛町', '小平町'], ['苫前町'], ['羽幌町', '初山別村'], ['中川町', '遠別町', '天塩町'], ['稚内市', '猿払村'], ['美深町', '音威子府村', '浜頓別町', '中頓別町', '枝幸町', '興部町', '西興部村', '雄武町'], ['豊富町', '幌延町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '大空町', '陸別町'], ['南富良野町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['清里町', '斜里町', '弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[34276, 32045, 31874, 19924, 13284, 11270, 8881, 6145]
trans_facility = ['千歳市', '小樽市', '室蘭市', '岩見沢市', '滝川市', '伊達市', '新ひだか町', '今金町']
trans_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '新篠津村'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町'], ['千歳市', '恵庭市', '安平町', '占冠村'], ['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['室蘭市', '登別市'], ['寿都町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町'], ['日高町', '新冠町', '浦河町', '様似町', 'えりも町', '新ひだか町'], ['島牧村', '黒松内町', '八雲町', '長万部町', '今金町', 'せたな町']]

arrows = [[['札幌市'], ['小樽市', '岩見沢市']], [['苫小牧市'], ['千歳市', '室蘭市', '新ひだか町', '伊達市']], [['函館市'], ['今金町']], [['旭川市'], ['滝川市']]]


---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 28415.944230000005, '苫小牧市': 4401.24936, '旭川市': 20495.40903, '函館市': 16569.80124, '帯広市': 19951.381709999998, '釧路市': 5221.74414, '北見市': 29263.9788, '中標津町': 4994.53689, '稚内市': 414.44694, '根室市': 1239.6003600000001, '枝幸町': 1912.0902, '増毛町': 402.2004, '羽幌町': 22.88265, '苫前町': 0.0, '遠別町': 28.24734, '豊富町': 11.25}
IC_inc: {'札幌市': 157163.9060683825, '苫小牧市': 60195.73399930686, '旭川市': 47640.000574713544, '函館市': 45190.25558468947, '帯広市': 34355.666254093485, '釧路市': 27746.089065790613, '北見市': 25048.63221091822, '中標津町': 8872.651784106152, '稚内市': 7480.976141758512, '根室市': 5977.738680892802, '枝幸町': 3303.9291546318623, '増毛町': 1528.7599441986767, '羽幌町': 1169.737822641925, '苫前町': 328.34017268960184, '遠別町': 240.53935274588486, '豊富町': 223.79345071050665}
OC_inc: {'札幌市': 65807.65385045693, '苫小牧市': 55344.50536017095, '旭川市': 56968.982535110794, '函館市': 56503.77419685738, '帯広市': 51261.67049056312, '釧路市': 45433.20587338103, '北見市': 42464.59053278037, '中標津町': 17379.31890023605, '稚内市': 14666.030284542983, '根室市': 11658.634045924002, '枝幸町': 6184.154088363563, '増毛町': 2597.3842507520244, '羽幌町': 1905.3689145652506, '苫前町': 419.6211140207029, '遠別町': 287.25227583165207, '豊富町': 262.9823307915868}

TC_indirect: {'千歳市': 9901.982039999999, '小樽市': 16034.235779999997, '室蘭市': 20235.147588, '岩見沢市': 9671.747352, '滝川市': 8069.843615999998, '伊達市': 8756.13642, '新ひだか町': 9708.340914, '今金町': 8887.97454}
IC_trans: {'千歳市': 7356.068953142971, '小樽市': 7103.769440475324, '室蘭市': 7084.194125438112, '岩見沢市': 5605.11307913852, '滝川市': 4633.182861096511, '伊達市': 4300.1973815985875, '新ひだか町': 3869.03853525598, '今金町': 3302.414055740748}
OC_trans: {'千歳市': 5911.052097004702, '小樽市': 5754.127523380359, '室蘭市': 5742.099677902004, '岩見沢市': 4201.552816030015, '滝川市': 3734.4981799171833, '伊達市': 3592.832791456908, '新ひだか町': 3424.7883390756565, '今金町': 3232.3326746444213}


----------------------  輸送情報  ----------------------

direct 札幌市(1086/1228) t/day → receive from: 札幌市, 江別市, 北広島市, 石狩市, 当別町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町
indirect 札幌市(142/1228) t/day → receive from: 中継施設＝ 小樽市(32045) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
岩見沢市(19924) → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 新篠津村
direct 苫小牧市(130/366) t/day → receive from: 苫小牧市, 白老町, 厚真町, むかわ町, 平取町
indirect 苫小牧市(236/366) t/day → receive from: 中継施設＝ 千歳市(34276) → receive from: 千歳市, 恵庭市, 安平町, 占冠村
室蘭市(31874) → receive from: 室蘭市, 登別市
新ひだか町(8881) → receive from: 日高町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町
伊達市(11270) → receive from: 寿都町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町
direct 旭川市(228/265) t/day → receive from: 深川市, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 幌加内町
indirect 旭川市(36/265) t/day → receive from: 中継施設＝ 滝川市(13284) → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町
direct 函館市(229/246) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
indirect 函館市(17/246) t/day → receive from: 中継施設＝ 今金町(6145) → receive from: 島牧村, 黒松内町, 八雲町, 長万部町, 今金町, せたな町
direct 帯広市(168/168) t/day → receive from: 南富良野町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 北見市(108/108) t/day → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 大空町, 陸別町
direct 中標津町(26/26) t/day → receive from: 清里町, 斜里町, 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(7/7) t/day → receive from: 美深町, 音威子府村, 浜頓別町, 中頓別町, 枝幸町, 興部町, 西興部村, 雄武町
direct 増毛町(2/2) t/day → receive from: 留萌市, 増毛町, 小平町
direct 羽幌町(2/2) t/day → receive from: 羽幌町, 初山別村
direct 苫前町(0/0) t/day → receive from: 苫前町
direct 遠別町(0/0) t/day → receive from: 中川町, 遠別町, 天塩町
direct 豊富町(0/0) t/day → receive from: 豊富町, 幌延町

----------------------  遺伝情報  ----------------------

個体数＝1200
世代数＝1000
0: neval=1200{'avg': 1449776.2502438598, 'max': 1720374.6841023003, 'min': 1311726.366556634} best=1311726.366556634
1: neval=951{'avg': 1403266.2691613724, 'max': 1658287.7242481082, 'min': 1284047.5188339974} best=1284047.5188339974
2: neval=927{'avg': 1383476.7008645416, 'max': 1612846.4823445356, 'min': 1284047.5188339974} best=1284047.5188339974
3: neval=930{'avg': 1366437.773028832, 'max': 1560239.0795846127, 'min': 1278100.4373676484} best=1278100.4373676484
4: neval=956{'avg': 1354457.372146072, 'max': 1544570.6177303914, 'min': 1284047.5188339974} best=1278100.4373676484
5: neval=952{'avg': 1344118.282897369, 'max': 1545493.367944928, 'min': 1278495.9790874214} best=1278100.4373676484
6: neval=926{'avg': 1333056.0172176694, 'max': 1501528.4360983232, 'min': 1278778.0307156686} best=1278100.4373676484
7: neval=945{'avg': 1322647.4888660416, 'max': 1519187.4111476713, 'min': 1278803.1270823723} best=1278100.4373676484
8: neval=946{'avg': 1312305.5217884236, 'max': 1495408.9676420935, 'min': 1260882.5024353748} best=1260882.5024353748
9: neval=943{'avg': 1303568.8428628333, 'max': 1499286.9316375332, 'min': 1250492.8877176808} best=1250492.8877176808
10: neval=927{'avg': 1292477.4637847885, 'max': 1465706.333680743, 'min': 1257988.877567777} best=1250492.8877176808
11: neval=967{'avg': 1285012.219059649, 'max': 1709566.1575514155, 'min': 1248401.3073651113} best=1248401.3073651113
12: neval=958{'avg': 1276368.8716856, 'max': 1601563.3217890246, 'min': 1229938.5937342246} best=1229938.5937342246
13: neval=967{'avg': 1269199.0881422192, 'max': 1543193.7744549992, 'min': 1236316.0260815332} best=1229938.5937342246
14: neval=959{'avg': 1261772.8831313674, 'max': 1416097.7921021057, 'min': 1229572.0565064289} best=1229572.0565064289
15: neval=940{'avg': 1254231.6093673997, 'max': 1476815.7093305571, 'min': 1222080.709341478} best=1222080.709341478
16: neval=958{'avg': 1246556.7998477546, 'max': 1441982.153889372, 'min': 1222080.709341478} best=1222080.709341478
17: neval=923{'avg': 1240264.7840193205, 'max': 1799876.74839893, 'min': 1209155.5007585443} best=1209155.5007585443
18: neval=943{'avg': 1233340.1651384453, 'max': 1519280.4062753138, 'min': 1209155.5007585443} best=1209155.5007585443
19: neval=973{'avg': 1228136.9677009766, 'max': 1741722.0597946923, 'min': 1201487.2082645458} best=1201487.2082645458
20: neval=944{'avg': 1221845.2107997125, 'max': 1482029.4656094823, 'min': 1201487.2082645458} best=1201487.2082645458
21: neval=916{'avg': 1216387.6664971951, 'max': 1448117.2443804834, 'min': 1193310.885196125} best=1193310.885196125
22: neval=964{'avg': 1213140.4830974503, 'max': 1693853.2065655782, 'min': 1187936.3036988294} best=1187936.3036988294
23: neval=989{'avg': 1210976.3402891823, 'max': 1607425.8799142193, 'min': 1185078.3665293402} best=1185078.3665293402
24: neval=978{'avg': 1206622.0931132752, 'max': 1501465.79698046, 'min': 1183805.3221745498} best=1183805.3221745498
25: neval=980{'avg': 1203988.3185886904, 'max': 1527411.8531033956, 'min': 1181375.5642712498} best=1181375.5642712498
26: neval=971{'avg': 1199408.188470696, 'max': 1437483.4916074155, 'min': 1177594.897619104} best=1177594.897619104
27: neval=964{'avg': 1195941.3007577735, 'max': 1441432.0850296984, 'min': 1173860.8911935564} best=1173860.8911935564
28: neval=935{'avg': 1191496.7732975222, 'max': 1528374.1088846275, 'min': 1167152.2454123646} best=1167152.2454123646
29: neval=951{'avg': 1186709.7405904739, 'max': 1515949.4037879559, 'min': 1167152.2454123646} best=1167152.2454123646
30: neval=946{'avg': 1182442.8648436558, 'max': 1495774.3207201948, 'min': 1167610.0762353227} best=1167152.2454123646
31: neval=966{'avg': 1177279.21070747, 'max': 1536129.6080955688, 'min': 1166511.2393197638} best=1166511.2393197638
32: neval=925{'avg': 1175341.3755325747, 'max': 1558319.4640456196, 'min': 1165960.6904105772} best=1165960.6904105772
33: neval=945{'avg': 1172884.272455413, 'max': 1654539.9874947038, 'min': 1165960.6904105772} best=1165960.6904105772
34: neval=974{'avg': 1170945.5410952053, 'max': 1320600.987785816, 'min': 1164385.6157147214} best=1164385.6157147214
35: neval=952{'avg': 1169623.2599818497, 'max': 1467185.153812343, 'min': 1163606.4779997822} best=1163606.4779997822
36: neval=933{'avg': 1168612.2590711573, 'max': 1357564.6731047234, 'min': 1163606.4779997822} best=1163606.4779997822
37: neval=946{'avg': 1168165.9834815843, 'max': 1534555.1525708882, 'min': 1162723.3704024798} best=1162723.3704024798
38: neval=969{'avg': 1167095.5822915363, 'max': 1489975.8460265524, 'min': 1162723.3704024798} best=1162723.3704024798
39: neval=951{'avg': 1166257.7791238478, 'max': 1503056.979646197, 'min': 1161967.693984257} best=1161967.693984257
40: neval=944{'avg': 1164571.8912469589, 'max': 1518874.7820024712, 'min': 1161967.693984257} best=1161967.693984257
41: neval=942{'avg': 1165630.1989464613, 'max': 1806717.1224864707, 'min': 1161967.693984257} best=1161967.693984257
42: neval=961{'avg': 1163997.237884831, 'max': 1511657.7487468729, 'min': 1161967.693984257} best=1161967.693984257
43: neval=970{'avg': 1162796.1617660502, 'max': 1301979.2142056755, 'min': 1161513.230254257} best=1161513.230254257
44: neval=970{'avg': 1163939.4442226922, 'max': 1763871.0265372216, 'min': 1161513.230254257} best=1161513.230254257
45: neval=965{'avg': 1164474.6533476794, 'max': 1499981.6877833887, 'min': 1161513.230254257} best=1161513.230254257
46: neval=940{'avg': 1165323.220701482, 'max': 1708312.577877756, 'min': 1161513.230254257} best=1161513.230254257
47: neval=928{'avg': 1163299.491306432, 'max': 1581411.4625088717, 'min': 1161513.230254257} best=1161513.230254257
48: neval=958{'avg': 1164388.9097240763, 'max': 1791073.039204092, 'min': 1161513.230254257} best=1161513.230254257
49: neval=928{'avg': 1162713.6181724223, 'max': 1524179.0628394834, 'min': 1161513.230254257} best=1161513.230254257
50: neval=962{'avg': 1163035.1681474075, 'max': 1645520.5834571612, 'min': 1161513.230254257} best=1161513.230254257
51: neval=936{'avg': 1163742.6274987443, 'max': 1487789.9223025672, 'min': 1161513.230254257} best=1161513.230254257
52: neval=914{'avg': 1162361.7430346, 'max': 1368127.1698070904, 'min': 1161513.230254257} best=1161513.230254257
53: neval=912{'avg': 1162569.4479107782, 'max': 1491184.8248021347, 'min': 1161513.230254257} best=1161513.230254257
54: neval=941{'avg': 1162158.3208207048, 'max': 1390534.869386039, 'min': 1161513.230254257} best=1161513.230254257
55: neval=943{'avg': 1163650.2875543057, 'max': 1476926.6552033036, 'min': 1161513.230254257} best=1161513.230254257
56: neval=939{'avg': 1163099.227180907, 'max': 1461644.7589037097, 'min': 1161513.230254257} best=1161513.230254257
57: neval=938{'avg': 1162685.2095201768, 'max': 1440098.7487293582, 'min': 1161513.230254257} best=1161513.230254257
58: neval=946{'avg': 1162655.994271879, 'max': 1477726.740075206, 'min': 1161513.230254257} best=1161513.230254257
59: neval=959{'avg': 1163628.2692049996, 'max': 1798171.395822519, 'min': 1161513.230254257} best=1161513.230254257
60: neval=961{'avg': 1163045.9676192044, 'max': 1941238.5922929053, 'min': 1161513.230254257} best=1161513.230254257
61: neval=917{'avg': 1162608.7898138738, 'max': 1618758.0661228544, 'min': 1161513.230254257} best=1161513.230254257
62: neval=937{'avg': 1163292.1649561364, 'max': 1438379.3673107268, 'min': 1161513.230254257} best=1161513.230254257
63: neval=943{'avg': 1163399.2178307022, 'max': 1595553.151052983, 'min': 1161513.230254257} best=1161513.230254257
64: neval=947{'avg': 1164404.0180016186, 'max': 1490300.5884630375, 'min': 1161513.230254257} best=1161513.230254257
65: neval=965{'avg': 1163342.8208964635, 'max': 1414345.2783929892, 'min': 1161513.230254257} best=1161513.230254257
66: neval=947{'avg': 1162129.1951504222, 'max': 1485462.8475264807, 'min': 1161513.230254257} best=1161513.230254257
67: neval=943{'avg': 1162418.1748102908, 'max': 1451401.6438003187, 'min': 1161513.230254257} best=1161513.230254257
68: neval=960{'avg': 1163233.3951079838, 'max': 1505245.546799707, 'min': 1161513.230254257} best=1161513.230254257
69: neval=931{'avg': 1163031.0955501487, 'max': 1523085.282826731, 'min': 1161513.230254257} best=1161513.230254257
70: neval=992{'avg': 1162440.8913935018, 'max': 1373676.9988454736, 'min': 1161513.230254257} best=1161513.230254257
71: neval=958{'avg': 1163251.4647479001, 'max': 1463841.9246258663, 'min': 1161008.4118316264} best=1161008.4118316264
72: neval=951{'avg': 1163425.8832762416, 'max': 1644545.6918997301, 'min': 1161008.4118316264} best=1161008.4118316264
73: neval=975{'avg': 1162527.275896326, 'max': 1451995.7790059207, 'min': 1161008.4118316264} best=1161008.4118316264
74: neval=964{'avg': 1163309.3211720819, 'max': 1507096.8887636089, 'min': 1161008.4118316264} best=1161008.4118316264
75: neval=934{'avg': 1163965.21335364, 'max': 1507096.8887636089, 'min': 1161008.4118316264} best=1161008.4118316264
