局----------------------  実行情報  ----------------------
実行時間＝843秒
個体数＝600
合計世代数＝100
==============================
Total cost: -298520.9853778834
==============================
------------------------  前提  ------------------------

waste=kanen

ごみ量22位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150)

焼却施設数: 4
中継施設数: 8

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste ='kanen'

unit ='t/year'

inc_size= [852387, 85042, 2311, 1356]

inc_facility = ['札幌市', '函館市', '松前町', '福島町']
inc_blocks = [['岩見沢市', '美唄市', '三笠市', '砂川市', '南幌町', '奈井江町', '上砂川町', '栗山町', '月形町', '浦臼町', '札幌市', '江別市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '斜里町'], ['函館市', '北斗市', '七飯町', '鹿部町', '森町', '八雲町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['松前町', '江差町', '上ノ国町'], ['福島町', '知内町', '木古内町']]

trans_size=[94763, 62438, 60124, 54657, 44198, 40276, 36894, 9812]
trans_facility = ['旭川市', '帯広市', '釧路市', '苫小牧市', '室蘭市', '北見市', '千歳市', '稚内市']
trans_blocks = [['夕張市', '由仁町', '長沼町', '千歳市', '恵庭市', '厚真町', '安平町', '占冠村'], ['島牧村', '寿都町', '黒松内町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['苫小牧市', '白老町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['芦別市', '赤平市', '滝川市', '歌志内市', '深川市', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '西興部村'], ['音威子府村', '中川町', '羽幌町', '初山別村', '遠別町', '天塩町', '稚内市', '猿払村', '浜頓別町', '中頓別町', '枝幸町', '豊富町', '幌延町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '清里町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '興部町', '雄武町', '大空町', '陸別町'], ['様似町', 'えりも町', '南富良野町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

arrows = [[['札幌市'], ['釧路市', '帯広市', '室蘭市', '苫小牧市', '稚内市', '旭川市', '千歳市', '北見市']]]


---------------------  エネルギー情報  ---------------------
[35090.14059985418, 159170.00598068917, -517434.76439678285, 24653.632438356166]

EL_direct: {'札幌市': 27218.65801687501, '函館市': 6792.711550354168, '松前町': 833.3328247291668, '福島町': 245.4382078958334}
ED_inc: {'札幌市': -578287.0232380357, '函館市': 50052.798302114854, '松前町': 6523.647287530638, '福島町': 4275.813251607425}

EL_indirect: {'旭川市': 30273.360355697336, '帯広市': 24744.4704099905, '釧路市': 40274.87268033016, '苫小牧市': 11745.291367147001, '室蘭市': 14127.238471746834, '北見市': 26733.953478388, '千歳市': 4303.399900193333, '稚内市': 6967.419317196}
ED_trans: {'旭川市': 5794.822356164384, '帯広市': 3818.126465753425, '釧路市': 3676.6237808219175, '苫小牧市': 3342.31298630137, '室蘭市': 2702.73797260274, '北見市': 2462.9049863013697, '千歳市': 2256.093369863014, '稚内市': 600.0105205479451}

----------------------  輸送情報  ----------------------

direct 札幌市(1231/2335) t/day → receive from: 岩見沢市, 美唄市, 三笠市, 砂川市, 南幌町, 奈井江町, 上砂川町, 栗山町, 月形町, 浦臼町, 札幌市, 江別市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 斜里町
indirect 札幌市(1105/2335) t/day → receive from: 中継施設＝ 釧路市(60124) → receive from: 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
帯広市(62438) → receive from: 様似町, えりも町, 南富良野町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
室蘭市(44198) → receive from: 島牧村, 寿都町, 黒松内町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
苫小牧市(54657) → receive from: 苫小牧市, 白老町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
稚内市(9812) → receive from: 音威子府村, 中川町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 幌延町
旭川市(94763) → receive from: 芦別市, 赤平市, 滝川市, 歌志内市, 深川市, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 西興部村
千歳市(36894) → receive from: 夕張市, 由仁町, 長沼町, 千歳市, 恵庭市, 厚真町, 安平町, 占冠村
北見市(40276) → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 興部町, 雄武町, 大空町, 陸別町
direct 函館市(233/233) t/day → receive from: 函館市, 北斗市, 七飯町, 鹿部町, 森町, 八雲町, 厚沢部町, 乙部町, 今金町, せたな町
direct 松前町(6/6) t/day → receive from: 松前町, 江差町, 上ノ国町
direct 福島町(4/4) t/day → receive from: 福島町, 知内町, 木古内町

----------------------  遺伝情報  ----------------------

個体数＝600
世代数＝100
0: neval=600{'avg': -11618.972405225513, 'max': 191231.62154433475, 'min': -151950.40712471743} best=-151950.40712471743
1: neval=485{'avg': -50841.40811543351, 'max': 186511.42257931177, 'min': -166250.62628065274} best=-166250.62628065274
2: neval=499{'avg': -85650.38530235183, 'max': 69012.35266089329, 'min': -169087.98822348073} best=-169087.98822348073
3: neval=469{'avg': -111239.81807027472, 'max': 88453.95165488444, 'min': -200061.64588103004} best=-200061.64588103004
4: neval=478{'avg': -127087.73678696742, 'max': 72137.94374776745, 'min': -200973.46130183266} best=-200973.46130183266
5: neval=491{'avg': -142551.81611888934, 'max': 18275.418404282147, 'min': -250037.17566774308} best=-250037.17566774308
6: neval=498{'avg': -161304.73105877306, 'max': 30620.14174337098, 'min': -250037.17566774308} best=-250037.17566774308
7: neval=480{'avg': -179359.45127030864, 'max': 36042.321225147425, 'min': -249121.3024107355} best=-250037.17566774308
8: neval=468{'avg': -195419.01250134964, 'max': -37334.5306063066, 'min': -252375.0951977088} best=-252375.0951977088
9: neval=474{'avg': -211344.2414928728, 'max': 8988.39959436344, 'min': -269165.24698406184} best=-269165.24698406184
10: neval=465{'avg': -224944.89114323928, 'max': -144497.73501650343, 'min': -269165.24698406184} best=-269165.24698406184
11: neval=477{'avg': -235405.15302292546, 'max': -82193.46717788209, 'min': -269311.17500641744} best=-269311.17500641744
12: neval=483{'avg': -241753.52047136857, 'max': -134841.55176607284, 'min': -269311.17500641744} best=-269311.17500641744
13: neval=474{'avg': -248023.09218781584, 'max': -113654.76279678258, 'min': -269311.17500641744} best=-269311.17500641744
14: neval=482{'avg': -253227.48818506088, 'max': -29068.037225061747, 'min': -275266.28470163903} best=-275266.28470163903
15: neval=465{'avg': -257459.49690132862, 'max': -147274.2132717203, 'min': -279634.4019784872} best=-279634.4019784872
16: neval=472{'avg': -260897.54548682328, 'max': -181428.7381342213, 'min': -285262.78056872974} best=-285262.78056872974
17: neval=475{'avg': -264451.5961462501, 'max': -181428.7381342213, 'min': -285262.78056872974} best=-285262.78056872974
18: neval=489{'avg': -266265.74854394776, 'max': -11046.52610610408, 'min': -286403.41313405265} best=-286403.41313405265
19: neval=474{'avg': -268853.8602828929, 'max': -3006.0131564745334, 'min': -286403.41313405265} best=-286403.41313405265
20: neval=459{'avg': -273338.70036025427, 'max': -143901.45865251406, 'min': -289913.2781557677} best=-289913.2781557677
21: neval=476{'avg': -278256.1455435928, 'max': -178600.26649808473, 'min': -294034.313026868} best=-294034.313026868
22: neval=457{'avg': -281363.44952856115, 'max': -35448.932910833784, 'min': -294034.313026868} best=-294034.313026868
23: neval=475{'avg': -283515.73688134336, 'max': -196371.79883247102, 'min': -294034.313026868} best=-294034.313026868
24: neval=483{'avg': -284446.93741699576, 'max': -40469.67384427988, 'min': -294034.313026868} best=-294034.313026868
25: neval=469{'avg': -287440.6888904341, 'max': -132178.68259350082, 'min': -294034.313026868} best=-294034.313026868
26: neval=471{'avg': -288769.78231885604, 'max': -144993.727408581, 'min': -294034.313026868} best=-294034.313026868
27: neval=466{'avg': -290358.020034088, 'max': -165172.63654684473, 'min': -294034.313026868} best=-294034.313026868
28: neval=485{'avg': -290131.160640364, 'max': -90737.1688953968, 'min': -294034.313026868} best=-294034.313026868
29: neval=459{'avg': -293006.99221578834, 'max': -189436.34925484535, 'min': -294034.313026868} best=-294034.313026868
30: neval=471{'avg': -293022.3193095631, 'max': -104223.13823661814, 'min': -294034.313026868} best=-294034.313026868
31: neval=462{'avg': -292880.9117652487, 'max': -163489.51106980105, 'min': -294034.313026868} best=-294034.313026868
32: neval=469{'avg': -293393.0992856534, 'max': -189940.50764773536, 'min': -294034.313026868} best=-294034.313026868
33: neval=502{'avg': -293959.6201601995, 'max': -249218.593025784, 'min': -294034.313026868} best=-294034.313026868
34: neval=485{'avg': -292498.468457189, 'max': 138662.7125601817, 'min': -294034.313026868} best=-294034.313026868
35: neval=470{'avg': -293693.6736781887, 'max': -213340.09234491177, 'min': -294034.313026868} best=-294034.313026868
36: neval=481{'avg': -293940.8253100878, 'max': -256183.57064488827, 'min': -294034.313026868} best=-294034.313026868
37: neval=464{'avg': -293796.5498179237, 'max': -151376.38766029142, 'min': -294034.313026868} best=-294034.313026868
38: neval=450{'avg': -293385.5394499707, 'max': -138701.77391036466, 'min': -294034.313026868} best=-294034.313026868
39: neval=483{'avg': -293479.7946953911, 'max': -200121.40704378867, 'min': -295177.46632465883} best=-295177.46632465883
40: neval=477{'avg': -293209.20392950566, 'max': -116731.45092176631, 'min': -295177.46632465883} best=-295177.46632465883
41: neval=473{'avg': -293592.80547816947, 'max': -111510.0633561697, 'min': -296483.182168977} best=-296483.182168977
42: neval=485{'avg': -293616.5633755349, 'max': -127137.94978291432, 'min': -296483.182168977} best=-296483.182168977
43: neval=473{'avg': -293979.1355109308, 'max': 61170.973702897965, 'min': -296483.182168977} best=-296483.182168977
44: neval=454{'avg': -294899.3696739277, 'max': -146159.84762156088, 'min': -296483.182168977} best=-296483.182168977
45: neval=474{'avg': -294332.1391062075, 'max': -98403.81295340619, 'min': -296483.182168977} best=-296483.182168977
46: neval=487{'avg': -295420.34899682394, 'max': -197705.14434852859, 'min': -296483.182168977} best=-296483.182168977
47: neval=470{'avg': -295018.58456526446, 'max': 38002.09135980134, 'min': -296483.182168977} best=-296483.182168977
48: neval=470{'avg': -295260.48749869305, 'max': 23423.54908980694, 'min': -296483.182168977} best=-296483.182168977
49: neval=474{'avg': -294946.6561360239, 'max': 94203.16073968279, 'min': -296483.182168977} best=-296483.182168977
50: neval=490{'avg': -295941.3478201354, 'max': -184258.0824175764, 'min': -296483.182168977} best=-296483.182168977
51: neval=452{'avg': -295749.982880284, 'max': -82381.20697134422, 'min': -296483.182168977} best=-296483.182168977
52: neval=469{'avg': -295632.90791433136, 'max': -134728.95032344572, 'min': -296483.182168977} best=-296483.182168977
53: neval=498{'avg': -294877.54377971427, 'max': -90188.51015423481, 'min': -296483.182168977} best=-296483.182168977
54: neval=491{'avg': -296010.7573482944, 'max': -193970.84820237794, 'min': -296483.182168977} best=-296483.182168977
55: neval=470{'avg': -295913.6303349562, 'max': -96250.92493677573, 'min': -296483.182168977} best=-296483.182168977
56: neval=468{'avg': -294801.6489537228, 'max': 12645.854671174682, 'min': -296483.182168977} best=-296483.182168977
57: neval=488{'avg': -296082.7282159683, 'max': -209101.89465846683, 'min': -296483.182168977} best=-296483.182168977
58: neval=441{'avg': -296079.84549675486, 'max': -138560.67123039623, 'min': -296483.182168977} best=-296483.182168977
59: neval=481{'avg': -295905.0528926188, 'max': -113762.70989129375, 'min': -296483.182168977} best=-296483.182168977
