
実行時間= 30秒

------------------------  前提  ------------------------

ごみ量20位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299)

焼却施設数: 1
中継施設数: 1

----------------------  輸送情報  ----------------------

direct 札幌市(781247)/942456 → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 室蘭市, 苫小牧市, 登別市, 伊達市, 豊浦町, 壮瞥町, 白老町, 厚真町, 洞爺湖町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町, 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 長万部町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町, 今金町, せたな町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 南富良野町, 占冠村, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町, 斜里町, 滝上町, 西興部村, 雄武町
indirect 札幌市(161209)/942456 → receive from: 本別町(161209)

---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 1778154.4379700006}
IC_inc: {'札幌市': 330376.6279775782}
OC_inc: {'札幌市': 138335.26614418672}

TC_indirect: {'本別町': 704707.8358199998}
IC_trans: {}
OC_trans: {}

Total cost: 2951574.1679117666

----------------------  遺伝情報  ----------------------

個体数＝150
世代数＝70
gen	nevals	avg        	min        	max       
0  	150   	4.49411e+06	2.95634e+06	9.1759e+06
1  	124   	3.73182e+06	2.95634e+06	8.29598e+06
2  	133   	3.47772e+06	2.95634e+06	9.13367e+06
3  	121   	3.16122e+06	2.95634e+06	7.44668e+06
4  	130   	3.23737e+06	2.95634e+06	7.17122e+06
5  	134   	3.27959e+06	2.95634e+06	9.23192e+06
6  	123   	3.1931e+06 	2.95634e+06	8.2119e+06 
7  	130   	3.12244e+06	2.95634e+06	6.54566e+06
8  	127   	3.23385e+06	2.95634e+06	7.82346e+06
9  	119   	3.20414e+06	2.95634e+06	7.27425e+06
10 	129   	3.2548e+06 	2.95634e+06	8.17554e+06
11 	133   	3.1567e+06 	2.95634e+06	8.54833e+06
12 	129   	3.18094e+06	2.95157e+06	7.27425e+06
13 	131   	3.11878e+06	2.95157e+06	7.16144e+06
14 	138   	3.15026e+06	2.95157e+06	7.69373e+06
15 	128   	3.24835e+06	2.95157e+06	1.12721e+07
16 	135   	3.27985e+06	2.95157e+06	8.08486e+06
17 	129   	3.30069e+06	2.95157e+06	9.31965e+06
18 	130   	3.19347e+06	2.95157e+06	8.30476e+06
19 	133   	3.20266e+06	2.95157e+06	8.34721e+06
20 	133   	3.19514e+06	2.95157e+06	9.83764e+06
21 	129   	3.27827e+06	2.95157e+06	9.83619e+06
22 	121   	3.18211e+06	2.95157e+06	8.70306e+06
23 	132   	3.33833e+06	2.95157e+06	8.66746e+06
24 	129   	3.12821e+06	2.95157e+06	9.29688e+06
25 	135   	3.2155e+06 	2.95157e+06	8.11986e+06
26 	129   	3.15782e+06	2.95157e+06	8.40125e+06
27 	116   	3.24804e+06	2.95157e+06	8.89422e+06
28 	136   	3.42134e+06	2.95157e+06	8.66746e+06
29 	128   	3.14861e+06	2.95157e+06	9.83619e+06
30 	127   	3.16789e+06	2.95157e+06	8.90717e+06
31 	133   	3.25614e+06	2.95157e+06	7.37654e+06
32 	133   	3.2799e+06 	2.95157e+06	8.40125e+06
33 	138   	3.21794e+06	2.95157e+06	1.05915e+07
34 	135   	3.29999e+06	2.95157e+06	9.07451e+06
35 	142   	3.34037e+06	2.95157e+06	8.28314e+06
36 	126   	3.18523e+06	2.95157e+06	7.70677e+06
37 	128   	3.17927e+06	2.95157e+06	7.64461e+06
38 	132   	3.18309e+06	2.95157e+06	8.33943e+06
39 	124   	3.1639e+06 	2.95157e+06	8.98403e+06
40 	125   	3.21958e+06	2.95157e+06	1.07103e+07
41 	132   	3.31859e+06	2.95157e+06	9.83619e+06
42 	128   	3.24418e+06	2.95157e+06	8.49121e+06
43 	139   	3.22552e+06	2.95157e+06	9.92543e+06
