----------------------  実行情報  ----------------------
実行時間＝1190秒
個体数＝1000
合計世代数＝519
------------------------  前提  ------------------------

waste=kanen

ごみ量30位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395)

焼却施設数: 19
中継施設数: 1

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

inc_size= [1247, 264, 243, 224, 173, 125, 121, 71, 25, 20, 19, 18, 15, 5, 4, 3, 0, 0, 0]
inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '中標津町', '稚内市', '紋別市', '網走市', '根室市', '枝幸町', '羽幌町', '清里町', '天塩町', '豊富町', '斜里町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '幌加内町'], ['留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村'], ['中川町', '遠別町', '天塩町'], ['稚内市', '猿払村'], ['美深町', '音威子府村', '浜頓別町', '中頓別町', '枝幸町'], ['豊富町', '幌延町'], ['北見市', '美幌町', '津別町', '訓子府町', '置戸町', '佐呂間町', '陸別町'], ['網走市', '大空町'], ['下川町', '紋別市', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町'], ['清里町', '小清水町'], ['斜里町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[0]
trans_facility = ['豊富町']
trans_blocks = [[]]

arrows = []


---------------------  コスト情報  ---------------------

==============================
Total cost: 1241957.5762505876
==============================
TC_direct: {'札幌市': 107750.56481999999, '旭川市': 42552.619679999996, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 3884.2622400000005, '中標津町': 4303.57125, '稚内市': 414.44694, '紋別市': 4728.88734, '網走市': 147.4998, '根室市': 1239.6003600000001, '枝幸町': 1045.82358, '羽幌町': 1272.45615, '清里町': 226.16403000000003, '天塩町': 29.62869, '豊富町': 11.25, '斜里町': 0.0}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 47610.12317327669, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 18430.976284856057, '中標津町': 8650.768684366207, '稚内市': 7480.976141758512, '紋別市': 7200.832989673019, '網走市': 6874.331429870022, '根室市': 5977.738680892802, '枝幸町': 2864.8282273605105, '羽幌町': 2343.3210783489885, '清里町': 1692.3279700197322, '天塩町': 240.53935274588486, '豊富町': 223.79345071050665, '斜里町': 0.0}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 56964.87608199606, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 33706.6804923292, '中標津町': 16951.74467757078, '稚内市': 14666.030284542983, '紋別市': 14111.180441229597, '網走市': 13461.115817412458, '根室市': 11658.634045924002, '枝幸町': 5283.8584016245995, '羽幌町': 4222.047478362802, '清里町': 2918.6885183885533, '天塩町': 287.25227583165207, '豊富町': 262.9823307915868, '斜里町': 0.0}

TC_indirect: {'豊富町': 0}
IC_trans: {'豊富町': 0}
OC_trans: {'豊富町': 0}


----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(264/264) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 幌加内町
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(71/71) t/day → receive from: 北見市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 陸別町
direct 中標津町(25/25) t/day → receive from: 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村
direct 紋別市(19/19) t/day → receive from: 下川町, 紋別市, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町
direct 網走市(18/18) t/day → receive from: 網走市, 大空町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(5/5) t/day → receive from: 美深町, 音威子府村, 浜頓別町, 中頓別町, 枝幸町
direct 羽幌町(4/4) t/day → receive from: 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村
direct 清里町(3/3) t/day → receive from: 清里町, 小清水町
direct 天塩町(0/0) t/day → receive from: 中川町, 遠別町, 天塩町
direct 豊富町(0/0) t/day → receive from: 豊富町, 幌延町
direct 斜里町(0/0) t/day → receive from: 斜里町

----------------------  遺伝情報  ----------------------

個体数＝1000
世代数＝1000
0: neval=1000{'avg': 1544749.1271967778, 'max': 1972107.2106960025, 'min': 1361116.4914438291} best=1361116.4914438291
1: neval=770{'avg': 1467633.75146794, 'max': 1781779.500383629, 'min': 1332892.8024014859} best=1332892.8024014859
2: neval=793{'avg': 1421283.1254391344, 'max': 1636310.9032328126, 'min': 1336534.8552810906} best=1332892.8024014859
3: neval=796{'avg': 1397924.732635533, 'max': 1688593.3619057988, 'min': 1346705.5730086658} best=1332892.8024014859
4: neval=794{'avg': 1381665.5699058413, 'max': 1573926.7352750632, 'min': 1311976.6813014888} best=1311976.6813014888
5: neval=774{'avg': 1366348.594489325, 'max': 1535561.5052727999, 'min': 1303310.091473375} best=1303310.091473375
6: neval=809{'avg': 1354009.859799289, 'max': 1576326.4259016153, 'min': 1296895.6003965095} best=1296895.6003965095
7: neval=780{'avg': 1341456.7973046093, 'max': 1664443.5586747192, 'min': 1291415.836746389} best=1291415.836746389
8: neval=771{'avg': 1328497.1282585098, 'max': 1657224.5872010074, 'min': 1287224.021137986} best=1287224.021137986
9: neval=790{'avg': 1317999.6506912445, 'max': 1479225.8597082351, 'min': 1287224.021137986} best=1287224.021137986
10: neval=800{'avg': 1310015.1422273284, 'max': 1478128.3303998846, 'min': 1281929.573316357} best=1281929.573316357
11: neval=798{'avg': 1303408.4125939258, 'max': 1550445.15105474, 'min': 1269237.1209132334} best=1269237.1209132334
12: neval=790{'avg': 1294512.7375041428, 'max': 1455915.9586152588, 'min': 1263085.8247219266} best=1263085.8247219266
13: neval=799{'avg': 1287741.7508730534, 'max': 1506420.5937301186, 'min': 1263085.8247219266} best=1263085.8247219266
14: neval=806{'avg': 1282609.8821308226, 'max': 1702023.1641672575, 'min': 1258033.5815855544} best=1258033.5815855544
15: neval=779{'avg': 1276045.5688098888, 'max': 1453727.2093439274, 'min': 1258033.5815855544} best=1258033.5815855544
16: neval=798{'avg': 1272009.3102544714, 'max': 1587743.2280159448, 'min': 1256831.8107734877} best=1256831.8107734877
17: neval=815{'avg': 1267419.3377792607, 'max': 1673327.7478984457, 'min': 1250742.4525728829} best=1250742.4525728829
18: neval=817{'avg': 1264210.1168543964, 'max': 1617145.8647225422, 'min': 1251484.2554481796} best=1250742.4525728829
19: neval=789{'avg': 1260947.91305453, 'max': 1710342.9607526602, 'min': 1250567.9667599974} best=1250567.9667599974
20: neval=794{'avg': 1257169.7285318915, 'max': 1528415.7310773032, 'min': 1250158.059664012} best=1250158.059664012
21: neval=787{'avg': 1256306.1204432568, 'max': 1505938.8247885015, 'min': 1249514.8334250418} best=1249514.8334250418
22: neval=816{'avg': 1254715.1974931362, 'max': 1733497.4168561338, 'min': 1248246.9857545323} best=1248246.9857545323
23: neval=801{'avg': 1252816.604951629, 'max': 1640876.5739243017, 'min': 1248246.9857545323} best=1248246.9857545323
24: neval=781{'avg': 1253016.0149450665, 'max': 1542978.4171133111, 'min': 1248246.9857545323} best=1248246.9857545323
25: neval=768{'avg': 1251707.411652258, 'max': 2325363.6850066693, 'min': 1248246.9857545323} best=1248246.9857545323
26: neval=743{'avg': 1250009.1594838565, 'max': 1596346.125301284, 'min': 1248246.9857545323} best=1248246.9857545323
27: neval=768{'avg': 1249690.0437004997, 'max': 1581698.5298048223, 'min': 1248246.9857545323} best=1248246.9857545323
28: neval=817{'avg': 1251094.7133167053, 'max': 1669204.9462365983, 'min': 1248246.9857545323} best=1248246.9857545323
29: neval=775{'avg': 1248915.2832053876, 'max': 1417985.8277452681, 'min': 1248246.9857545323} best=1248246.9857545323
30: neval=787{'avg': 1249200.029208193, 'max': 1781577.918461319, 'min': 1248246.9857545323} best=1248246.9857545323
31: neval=787{'avg': 1249476.1953666299, 'max': 1603309.5652496184, 'min': 1248246.9857545323} best=1248246.9857545323
32: neval=788{'avg': 1249462.6511524315, 'max': 1413391.6824944303, 'min': 1248246.9857545323} best=1248246.9857545323
33: neval=774{'avg': 1249251.5663235446, 'max': 1575511.389662027, 'min': 1248246.9857545323} best=1248246.9857545323
34: neval=795{'avg': 1248345.4173883134, 'max': 1297938.423049592, 'min': 1248246.9857545323} best=1248246.9857545323
35: neval=807{'avg': 1249403.5019019218, 'max': 1691191.9493007646, 'min': 1248246.9857545323} best=1248246.9857545323
36: neval=784{'avg': 1249067.0748887039, 'max': 1507045.6603177837, 'min': 1248246.9857545323} best=1248246.9857545323
37: neval=798{'avg': 1251266.2961252804, 'max': 1803985.2699786434, 'min': 1248246.9857545323} best=1248246.9857545323
38: neval=817{'avg': 1250187.09646675, 'max': 1535736.7643262155, 'min': 1248246.9857545323} best=1248246.9857545323
39: neval=778{'avg': 1249667.2318815321, 'max': 1605105.2484248655, 'min': 1248246.9857545323} best=1248246.9857545323
40: neval=749{'avg': 1248635.9659608079, 'max': 1447906.952382528, 'min': 1248246.9857545323} best=1248246.9857545323
41: neval=815{'avg': 1249574.3166853357, 'max': 1512103.5970025565, 'min': 1248246.9857545323} best=1248246.9857545323
42: neval=777{'avg': 1248756.2908118411, 'max': 1444264.1438652521, 'min': 1248005.2975163162} best=1248005.2975163162
43: neval=825{'avg': 1250041.5032716377, 'max': 1581759.0271194782, 'min': 1248005.2975163162} best=1248005.2975163162
44: neval=750{'avg': 1249648.2387014576, 'max': 1753525.4823576906, 'min': 1248005.2975163162} best=1248005.2975163162
45: neval=829{'avg': 1249085.6166434684, 'max': 1409748.0686930665, 'min': 1248005.2975163162} best=1248005.2975163162
46: neval=769{'avg': 1248792.95422227, 'max': 1556203.5312992805, 'min': 1248005.2975163162} best=1248005.2975163162
47: neval=793{'avg': 1248962.9563142515, 'max': 1548724.6625790135, 'min': 1248005.2975163162} best=1248005.2975163162
48: neval=796{'avg': 1248862.061037864, 'max': 1477345.046010573, 'min': 1248005.2975163162} best=1248005.2975163162
49: neval=802{'avg': 1249900.1139160676, 'max': 1557683.8447740832, 'min': 1248005.2975163162} best=1248005.2975163162
50: neval=761{'avg': 1250058.242637155, 'max': 1644148.4157027383, 'min': 1248005.2975163162} best=1248005.2975163162
51: neval=768{'avg': 1250649.6751642423, 'max': 1511792.2753400556, 'min': 1248005.2975163162} best=1248005.2975163162
52: neval=786{'avg': 1248892.4746418963, 'max': 1509141.4682633802, 'min': 1247808.223367418} best=1247808.223367418
53: neval=800{'avg': 1250587.1113331928, 'max': 1968654.8622217034, 'min': 1247808.223367418} best=1247808.223367418
54: neval=770{'avg': 1248977.9653190197, 'max': 1580029.2899257676, 'min': 1247808.223367418} best=1247808.223367418
55: neval=785{'avg': 1248690.8477230486, 'max': 1442080.3342906889, 'min': 1247808.223367418} best=1247808.223367418
56: neval=797{'avg': 1248580.8406908044, 'max': 1532860.4981889836, 'min': 1247808.223367418} best=1247808.223367418
57: neval=793{'avg': 1248668.5951990993, 'max': 1524738.7062318358, 'min': 1247808.223367418} best=1247808.223367418
58: neval=807{'avg': 1249238.200118586, 'max': 1509599.5277008822, 'min': 1247808.223367418} best=1247808.223367418
59: neval=799{'avg': 1248553.592588327, 'max': 1461488.1979245138, 'min': 1247808.223367418} best=1247808.223367418
60: neval=797{'avg': 1248638.4151175974, 'max': 1594815.9782352704, 'min': 1247808.223367418} best=1247808.223367418
61: neval=767{'avg': 1248611.3298095705, 'max': 1616446.420835617, 'min': 1247808.223367418} best=1247808.223367418
62: neval=797{'avg': 1248829.212778839, 'max': 1484856.9153272784, 'min': 1247808.223367418} best=1247808.223367418
63: neval=786{'avg': 1249641.6211885652, 'max': 1742723.164549729, 'min': 1247808.223367418} best=1247808.223367418
64: neval=832{'avg': 1250233.911879286, 'max': 1788372.4246818535, 'min': 1247808.223367418} best=1247808.223367418
65: neval=785{'avg': 1249085.9959227843, 'max': 1622371.4481346237, 'min': 1247808.223367418} best=1247808.223367418
66: neval=810{'avg': 1248079.688402513, 'max': 1407936.0071508975, 'min': 1247808.223367418} best=1247808.223367418
